id_data	data_legend	position_ordonnee	display_type	line_design	color	filled_color
seri.gtms.0075.01.00001.01	SDCCH Assignment Requests Number (Nb)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0075.01.00001.02	SDCCH Assignment Success Rate (%)	left	line	circle	#ff0000	#ffffff@1
seri.gtms.0075.01.sdcch_blocking_and_drop.kpis.0075.01.01001	SDCCH Assignment Requests Number (Nb)	right	bar	none	#333333	#FF0000@0.5
seri.gtms.0075.01.sdcch_blocking_and_drop.kpis.0075.01.06002	SDCCH Success Ended Number (Nb)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0075.01.sdcch_blocking_and_drop.kpis.0075.01.08003	SDCCH Blocking Rate (%)	left	line	circle	#FF0000	#FFFFFF@1
seri.gtms.0075.01.sdcch_blocking_and_drop.kpis.0075.01.06003	SDCCH Drop Rate  (%)	left	line	circle	#0099FF	#FFFFFF@1
seri.gtms.0075.01.sdcch_drop_causes.kpis.0075.01.06002	SDCCH Success Ended Number (Nb)	right	line	circle	#ff0000	#FFFFFF@1
seri.gtms.0075.01.sdcch_drop_causes.kpis.0075.01.06003	SDCCH Drop Rate  (%)	left	line	circle	#333333	#ffffff@1
seri.gtms.0075.01.sdcch_drop_causes.kpis.0075.01.sdcch_drop_radio_rate	SDCCH Drop Radio Rate (%)	left	cumulatedbar	none	#333333	#FF0000@0.5
seri.gtms.0075.01.sdcch_drop_causes.kpis.0075.01.sdcch_drop_ho_rate	SDCCH Drop Handover Rate (%)	left	cumulatedbar	none	#333333	#FF0099@0.5
seri.gtms.0075.01.sdcch_drop_causes.kpis.0075.01.sdcch_drop_bss_rate	SDCCH Drop BSS Rate (%)	left	cumulatedbar	none	#333333	#000099@0.5
seri.gtms.0075.01.sdcch_drop_causes.kpis.0075.01.sdcch_drop_others_rate	SDCCH Drop Others Rate (%)	left	cumulatedbar	none	#333333	#FFFF00@0.5
seri.gtms.0075.01.00003.01	SDCCH Traffic Carried (erlang)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0075.01.00003.02	SDCCH Mean Holding Time (s)	left	line	circle	#ff0000	#ffffff@1
seri.gtms.0075.01.00004.01	TCH Attempts Number (Nb)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0075.01.00004.02	TCH Assignment Success Rate (%)	left	line	circle	#ff0000	#ffffff@1
seri.gtms.0075.01.tch_drop_causes.kpis.0075.01.03002	TCH Assignment Success  Number (Nb)	right	line	circle	#006600	#FFFFFF@1
seri.gtms.0075.01.tch_drop_causes.kpis.0075.01.05016	TCH Drop Rate (%)	left	line	circle	#ff0000	#FFFFFF@1
seri.gtms.0075.01.tch_drop_causes.kpis.0075.01.05004	TCH Drop Radio Rate (%)	left	cumulatedbar	none	#333333	#FF0000@0.5
seri.gtms.0075.01.tch_drop_causes.kpis.0075.01.05006	TCH Drop Handover Rate (%)	left	cumulatedbar	none	#333333	#FF0099@0.5
seri.gtms.0075.01.tch_drop_causes.kpis.0075.01.05008	TCH Drop BSS Rate (%)	left	cumulatedbar	none	#333333	#000099@0.5
seri.gtms.0075.01.tch_drop_causes.kpis.0075.01.05037	TCH Drop Others Rate (%)	left	cumulatedbar	none	#333333	#FFFF00@0.5
seri.gtms.0075.01.00006.03	TCH Traffic Carried Total (erlang)	right	line	square	#333333	#FFFFFF@1
