id_page	object_type	pie_split_type	pie_split_by	ordonnee_left_name	ordonnee_right_name	graph_width	graph_height	position_legende	default_orderby	default_asc_desc	gis	gis_based_on	definition	troubleshooting	is_configure	scale
gtms.0075.01.00001	graph			%	Nb	900	450	top	seri.gtms.0075.01.00001.02	1	1	seri.gtms.0075.01.00001.02	SDCCH immediate assignment efficiency		1	textlin
gtms.0075.01.sdcch_blocking_and_drop	graph			%	Nb	900	450	top	seri.gtms.0075.01.sdcch_blocking_and_drop.kpis.0075.01.08003	1	1	seri.gtms.0075.01.sdcch_blocking_and_drop.kpis.0075.01.08003	SDCCH Blocking and Drop Rate		1	textlin
gtms.0075.01.sdcch_drop_causes	graph			%	Nb	900	450	top	seri.gtms.0075.01.sdcch_drop_causes.kpis.0075.01.06003	0	1	seri.gtms.0075.01.sdcch_drop_causes.kpis.0075.01.06003	SDCCH drop rates		1	textlin
gtms.0075.01.00003	graph			s	Erlang	900	450	top	seri.gtms.0075.01.00003.01	0	0		SDCCH  load statistics		1	textlin
gtms.0075.01.00004	graph			%	Nb	900	450	top	seri.gtms.0075.01.00004.02	1	1	seri.gtms.0075.01.00004.02	TCH Assignment efficiency		1	textlin
gtms.0075.01.tch_drop_causes	graph			%	Nb	900	450	top	seri.gtms.0075.01.tch_drop_causes.kpis.0075.01.05016	0	1	seri.gtms.0075.01.tch_drop_causes.kpis.0075.01.05016	TCH drop causes		1	textlin
gtms.0075.01.00006	graph			s	Erlang	900	450	top	seri.gtms.0075.01.00006.03	0	0		TCH load statistics		1	textlin
gtms.0075.01.00007	graph			%		900	450	top	seri.gtms.0075.01.00007.05	0	1	seri.gtms.0075.01.00007.01	Interference band rate on idle TCH		1	textlin
gtms.0075.01.00008	graph			%	Nb	900	450	top	seri.gtms.0075.01.00008.02	1	1	seri.gtms.0075.01.00008.02	call setup efficiency		1	textlin
gtms.0075.01.sdcch_and_tch_assignment	graph			%	Nb	900	450	top	seri.gtms.0075.01.sdcch_and_tch_assignment.kpis.0075.01.01009	1	1	seri.gtms.0075.01.sdcch_and_tch_assignment.kpis.0075.01.01009	SDCCH and TCH efficiency in call setup		1	textlin
gtms.0075.01.call_blocking_and_drop	graph			%	Nb	900	450	top	seri.gtms.0075.01.call_blocking_and_drop.kpis.0075.01.04010	0	1	seri.gtms.0075.01.call_blocking_and_drop.kpis.0075.01.04010	Call Blocking and Drops rates		1	textlin
gtms.0075.01.00010	graph			%	Nb	900	450	top	seri.gtms.0075.01.00010.02	1	1	seri.gtms.0075.01.00010.02	call success rates		1	textlin
gtms.0075.01.00011	graph			%	Nb	900	450	right	seri.gtms.0075.01.00011.01	0	0		Handover causes		1	textlin
gtms.0075.01.handover	graph			%	Nb	900	450	top	seri.gtms.0075.01.handover.kpis.0075.01.10078	1	1	seri.gtms.0075.01.handover.kpis.0075.01.10078	General Handovers statistics		1	textlin
gtms.0075.01.00012	graph			%	Nb	900	450	top	seri.gtms.0075.01.00012.kpis.0075.01.intra_cell_handover_success_rate	1	1	seri.gtms.0075.01.00012.kpis.0075.01.intra_cell_handover_success_rate	Intra Cell Handovers		1	textlin
gtms.0075.01.00013	graph			%	Nb	900	450	top	seri.gtms.0075.01.00013.kpis.0075.01.inter_cell_intra_bsc_handovers_success_rate	1	1	seri.gtms.0075.01.00013.kpis.0075.01.inter_cell_intra_bsc_handovers_success_rate	Inter Cell intra BSC Handovers		1	textlin
