sdcetd_id	sdcetd_table
corporate	sys_global_parameters
id_country	sys_global_parameters
alarm_missing_files_temporization	sys_global_parameters
specif_enable_preOSS	sys_global_parameters
topology_last_update_date	sys_global_parameters
topology_max_hour_retrieved	sys_global_parameters
dshd.0075.01.003.gtm.01	sys_pauto_config
eri.gtms.0075.01.00010.01	sys_pauto_config
dshd.0075.01.004.gtm.01	sys_pauto_config
dshd.0075.01.004.gtm.02	sys_pauto_config
dshd.0075.03.001.gtm.01	sys_pauto_config
seri.gtms.0075.03.00001.28	sys_pauto_config
dshd.0075.02.001.gtm.01	sys_pauto_config
dshd.0075.02.001.gtm.02	sys_pauto_config
dshd.0075.01.003.gtm.02	sys_pauto_config
dshd.0075.01.001.gtm.02	sys_pauto_config
dshd.0075.01.002.gtm.02	sys_pauto_config
seri.gtms.0075.01.00006.04	sys_pauto_config
seri.gtms.0075.01.00006.05	sys_pauto_config
seri.gtms.0075.01.00006.06	sys_pauto_config
seri.gtms.0075.01.00006.08	sys_pauto_config
seri.gtms.0075.01.00006.09	sys_pauto_config
seri.gtms.0075.01.00013.02	sys_pauto_config
seri.gtms.0075.01.00013.03	sys_pauto_config
seri.gtms.0075.01.00014.02	sys_pauto_config
seri.gtms.0075.01.00014.03	sys_pauto_config
dshd.0075.01.005.gtm.02	sys_pauto_config
seri.gtms.0075.03.00001.27	sys_pauto_config
seri.gtms.0075.02.00001.01	sys_pauto_config
seri.gtms.0075.02.00001.02	sys_pauto_config
seri.gtms.0075.02.00001.03	sys_pauto_config
seri.gtms.0075.02.00001.04	sys_pauto_config
seri.gtms.0075.02.00009.03	sys_pauto_config
seri.gtms.0075.02.00009.04	sys_pauto_config
seri.gtms.0075.02.00009.05	sys_pauto_config
seri.gtms.0075.02.00009.06	sys_pauto_config
seri.gtms.0075.02.00009.07	sys_pauto_config
seri.gtms.0075.02.00009.08	sys_pauto_config
seri.gtms.0075.02.00010.03	sys_pauto_config
seri.gtms.0075.02.00010.04	sys_pauto_config
seri.gtms.0075.02.00010.06	sys_pauto_config
seri.gtms.0075.02.00010.07	sys_pauto_config
seri.gtms.0075.01.00006.04	graph_data
seri.gtms.0075.01.00006.05	graph_data
seri.gtms.0075.01.00006.06	graph_data
seri.gtms.0075.01.00006.08	graph_data
seri.gtms.0075.01.00006.09	graph_data
seri.gtms.0075.01.00013.02	graph_data
seri.gtms.0075.01.00013.03	graph_data
seri.gtms.0075.01.00014.02	graph_data
seri.gtms.0075.01.00014.03	graph_data
seri.gtms.0075.03.00001.27	graph_data
seri.gtms.0075.03.00001.28	graph_data
seri.gtms.0075.02.00001.01	graph_data
seri.gtms.0075.02.00001.02	graph_data
seri.gtms.0075.02.00001.03	graph_data
seri.gtms.0075.02.00001.04	graph_data
seri.gtms.0075.02.00009.03	graph_data
seri.gtms.0075.02.00009.04	graph_data
seri.gtms.0075.02.00009.05	graph_data
seri.gtms.0075.02.00009.06	graph_data
seri.gtms.0075.02.00009.07	graph_data
seri.gtms.0075.02.00009.08	graph_data
seri.gtms.0075.02.00010.03	graph_data
seri.gtms.0075.02.00010.04	graph_data
seri.gtms.0075.02.00010.06	graph_data
seri.gtms.0075.02.00010.07	graph_data
