id_ligne	id_group_table	network_agregation	network_agregation_label	rank	data_type	on_off	comment	deploy_status	id_source
101	1	cell	Cell	-1	raw	1		0	101
102	1	usercluster1	UserCellCluster1	101	raw	1		0	101
103	1	usercluster2	UserCellCluster2	101	raw	1		0	101
104	1	usercluster3	UserCellCluster3	101	raw	1		0	101
105	1	bsc	BSC	101	raw	1		0	101
106	1	lac	LAC	101	raw	1		0	101
107	1	msc	MSC	106	raw	1		0	106
108	1	network	Network	107	raw	1		0	107
109	1	vendor	Vendor	105	raw	1		0	105
151	1	cell	Cell	-1	kpi	1		0	151
152	1	usercluster1	UserCellCluster1	151	kpi	1		0	151
153	1	usercluster2	UserCellCluster2	151	kpi	1		0	151
154	1	usercluster3	UserCellCluster3	151	kpi	1		0	151
155	1	bsc	BSC	151	kpi	1		0	151
156	1	lac	LAC	151	kpi	1		0	151
157	1	msc	MSC	156	kpi	1		0	156
158	1	network	Network	157	kpi	1		0	157
159	1	vendor	Vendor	155	kpi	1		0	155
201	2	cell	Cell	-1	raw	1		0	201
202	2	usercluster1	UserCellCluster1	201	raw	1		0	201
203	2	usercluster2	UserCellCluster2	201	raw	1		0	201
204	2	usercluster3	UserCellCluster3	201	raw	1		0	201
205	2	pcu	PCU	201	raw	1		0	201
206	2	rai	RAI	201	raw	1		0	201
207	2	sgsn	SGSN	206	raw	1		0	206
208	2	network	Network	207	raw	1		0	207
209	2	vendor	Vendor	205	raw	1		0	205
251	2	cell	Cell	-1	kpi	1		0	251
252	2	usercluster1	UserCellCluster1	251	kpi	1		0	251
253	2	usercluster2	UserCellCluster2	251	kpi	1		0	251
254	2	usercluster3	UserCellCluster3	251	kpi	1		0	251
255	2	pcu	PCU	251	kpi	1		0	251
256	2	rai	RAI	251	kpi	1		0	251
257	2	sgsn	SGSN	256	kpi	1		0	256
258	2	network	Network	257	kpi	1		0	257
259	2	vendor	Vendor	255	kpi	1		0	255
301	3	stc	SourceTargetCell	-1	raw	1		0	301
302	3	sourcecell	SourceCell	301	raw	1		0	301
303	3	network	Network	302	raw	1		0	302
351	3	stc	SourceTargetCell	-1	kpi	1		0	351
352	3	sourcecell	SourceCell	351	kpi	1		0	351
353	3	network	Network	352	kpi	1		0	352
