id_ligne	kpi_name	edw_group_table	kpi_label	comment	kpi_formula	pourcentage	on_off	value_type	new_field	visible	numerator_denominator	kpi_type
kpis.0075.01.00000	RI_CAPTURE_DURATION	edw_eribss_bss_axe1	RI CAPTURE DURATION	RI CAPTURE DURATION	CASE WHEN (capture_duration/capture_duration_expected)*100>100 THEN 100 ELSE (capture_duration/capture_duration_expected)*100 END	1	1	customisateur	1	0	total	float4
kpis.0075.01.01001	Nb_Immediate_Assignment_Attempts	edw_eribss_bss_axe1	SDCCH Assignment Requests Number (Nb)	Number of SDCCH seizure requests during radio link establishment procedure 	CLSDCCH_CCALLS	0	1	customisateur	1	1	total	float4
kpis.0075.01.01010	C_Nb_Immediate_Assignment_Attempts1	edw_eribss_bss_axe1	Corporate SDCCH Assignment Requests Number (Nb)	Number of SDCCH seizure requests during radio link establishment procedure 	CLSDCCH_CCALLS	0	1	customisateur	1	1	total	float4
kpis.0075.01.01005	Nb_Successful_Immediate_Assignments	edw_eribss_bss_axe1	SDCCH Assignment Success Number (Nb)	Total number of SDCCH successfully seized by mobile during radio link establishment procedure 	CLSDCCH_CMSESTAB	0	1	customisateur	1	1	total	float4
kpis.0075.01.01006	C_Nb_Successful_Immediate_Assignments	edw_eribss_bss_axe1	Corporate SDCCH Assignment Success Number (Nb)	Total number of SDCCH successfully seized by mobile during radio link establishment procedure 	CLSDCCH_CMSESTAB	0	1	customisateur	1	1	total	float4
kpis.0075.01.01009	Immediate_Assignment_Success_Rate	edw_eribss_bss_axe1	SDCCH Assignment Success Rate (%)	SDCCH ASSIGN SUCCESS/SDCCH ASSIGN REQUESTS 	CASE WHEN CLSDCCH_CMSESTAB*100/CLSDCCH_CCALLS>100 THEN 100 ELSE CLSDCCH_CMSESTAB*100/CLSDCCH_CCALLS END	1	1	customisateur	1	1	total	float4
kpis.0075.01.01003	Nb_Immediate_Assignment_Losses	edw_eribss_bss_axe1	SDCCH Assignment Failures Number (Nb)	SDCCH ASSIGN REQUESTS - SDCCH ASSIGN SUCCESS 	CLSDCCH_CCALLS-CLSDCCH_CMSESTAB	0	1	customisateur	1	1	total	float4
kpis.0075.01.01007	Immediate_Assignment_Loss_Rate	edw_eribss_bss_axe1	SDCCH Assignment Failures Rate (%)	(SDCCH ASSIGN REQUESTS - SDCCH ASSIGN SUCCESS)/SDCCH ASSIGN REQUESTS 	CASE WHEN (CLSDCCH_CCALLS-CLSDCCH_CMSESTAB)*100/CLSDCCH_CCALLS>100 THEN 100 ELSE (CLSDCCH_CCALLS-CLSDCCH_CMSESTAB)*100/CLSDCCH_CCALLS END	1	1	customisateur	1	1	total	float4
kpis.0075.01.01011	SDCCH_TIME_CONGESTION_RATE	edw_eribss_bss_axe1	SDCCH Time Congestion Rate (%)	SDCCH TIME CONGESTION RATE 	CASE WHEN 100*CLSDCCH_CTCONGS/CAPTURE_DURATION_REAL>100 THEN 100 ELSE 100*CLSDCCH_CTCONGS/CAPTURE_DURATION_REAL END	1	1	customisateur	1	1	total	float4
kpis.0075.01.02003	RANDOM_ACCESS_ATTEMPTS	edw_eribss_bss_axe1	Random Access Attempts Number (Nb)	Number of random access attempts 	(RANDOMACC_CNROCNT+RANDOMACC_RAACCFA+CELLGPRS_PDRAC)	0	1	customisateur	1	1	total	float4
