id_ligne	nms_table	nms_field_name	edw_group_table	edw_target_field_name	edw_field_name	edw_field_type	edw_agregation_function	edw_agregation_formula	new_date	new_field	on_off	id_group_table	aggregated_flag	comment	visible	default_value	flat_file_position	edw_field_name_label
raws.0075.BSS.00004	CELEVENTD	DISNORM	edw_eribss_bss_axe1	celeventd_disnorm	CELEVENTD_DISNORM	float4	SUM	SUM(celeventd_disnorm)	20100413	1	0	1	1	Normal disconnection.	1	0		CELEVENTD_DISNORM
raws.0075.BSS.00005	CELEVENTD	DISBQA	edw_eribss_bss_axe1	celeventd_disbqa	CELEVENTD_DISBQA	float4	SUM	SUM(celeventd_disbqa)	20100413	1	0	1	1	Disconnection at bad radio link quality.	1	0		CELEVENTD_DISBQA
raws.0075.BSS.00006	CELEVENTD	DISBSS	edw_eribss_bss_axe1	celeventd_disbss	CELEVENTD_DISBSS	float4	SUM	SUM(celeventd_disbss)	20100413	1	0	1	1	Disconnection at bad signal strength	1	0		CELEVENTD_DISBSS
raws.0075.BSS.00007	CELEVENTD	DISETA	edw_eribss_bss_axe1	celeventd_diseta	CELEVENTD_DISETA	float4	SUM	SUM(celeventd_diseta)	20100413	1	0	1	1	Normal disconnection at excessive timing advance.	1	0		CELEVENTD_DISETA
raws.0075.BSS.00008	CELEVENTD	DISFER	edw_eribss_bss_axe1	celeventd_disfer	CELEVENTD_DISFER	float4	SUM	SUM(celeventd_disfer)	20100413	1	0	1	1	Normal disconnections at high FER	1	0		CELEVENTD_DISFER
raws.0075.bss.00012	CELEVENTH	CLSTIME	edw_eribss_bss_axe1	celeventh_clstime	CELEVENTH_CLSTIME	float4	SUM	SUM(celeventh_clstime)	20100413	1	0	1	1	Accumulated time in seconds when CLS evaluation is performed in the cell.	1	0		CELEVENTH_CLSTIME
raws.0075.bss.00013	CELEVENTH	TOTCLSTIME	edw_eribss_bss_axe1	celeventh_totclstime	CELEVENTH_TOTCLSTIME	float4	SUM	SUM(celeventh_totclstime)	20100413	1	0	1	1	Total time for the CLS feature being activate in seconds.	1	0		CELEVENTH_TOTCLSTIME
raws.0075.bss.00014	CELEVENTH	HOATTLS	edw_eribss_bss_axe1	celeventh_hoattls	CELEVENTH_HOATTLS	float4	SUM	SUM(celeventh_hoattls)	20100413	1	0	1	1	Handover attempts due to CLS.	1	0		CELEVENTH_HOATTLS
raws.0075.bss.00015	CELEVENTH	HOSUCLS	edw_eribss_bss_axe1	celeventh_hosucls	CELEVENTH_HOSUCLS	float4	SUM	SUM(celeventh_hosucls)	20100413	1	0	1	1	Successful handovers due to Cell load sharing	1	0		CELEVENTH_HOSUCLS
raws.0075.bss.00016	CELEVENTH	HOATTBL	edw_eribss_bss_axe1	celeventh_hoattbl	CELEVENTH_HOATTBL	float4	SUM	SUM(celeventh_hoattbl)	20100413	1	1	1	1	Handover attempts due to operation and maintenance intervention	1	0		CELEVENTH_HOATTBL
raws.0075.bss.00017	CELEVENTH	HOSUCBL	edw_eribss_bss_axe1	celeventh_hosucbl	CELEVENTH_HOSUCBL	float4	SUM	SUM(celeventh_hosucbl)	20100413	1	0	1	1	Successful handovers due to operation and maintenance intervention	1	0		CELEVENTH_HOSUCBL
raws.0075.BSS.00021	CELEVENTI	HOINUQA	edw_eribss_bss_axe1	celeventi_hoinuqa	CELEVENTI_HOINUQA	float4	SUM	SUM(celeventi_hoinuqa)	20100413	1	1	1	1	Number of intra cell handover attempts at bad uplink quality	1	0		CELEVENTI_HOINUQA
raws.0075.BSS.00022	CELEVENTI	HOINDQA	edw_eribss_bss_axe1	celeventi_hoindqa	CELEVENTI_HOINDQA	float4	SUM	SUM(celeventi_hoindqa)	20100413	1	1	1	1	Number of intra cell handover attempts at bad downlink quality	1	0		CELEVENTI_HOINDQA
raws.0075.BSS.00023	CELEVENTI	HOINBQA	edw_eribss_bss_axe1	celeventi_hoinbqa	CELEVENTI_HOINBQA	float4	SUM	SUM(celeventi_hoinbqa)	20100413	1	0	1	1	Number of intra cell handover attempts at bad quality in both links	1	0		CELEVENTI_HOINBQA
raws.0075.BSS.00024	CELEVENTI	HOINSUC	edw_eribss_bss_axe1	celeventi_hoinsuc	CELEVENTI_HOINSUC	float4	SUM	SUM(celeventi_hoinsuc)	20100413	1	1	1	1	Number of successful intra cell handovers	1	0		CELEVENTI_HOINSUC
