id	id_page	id_elem	class_object	ligne	id_product
dshd.0075.01.003.gtm.01	dshd.0075.01.003	gtms.0075.01.00008	graph	1	1
seri.gtms.0075.01.00008.01	gtms.0075.01.00008	kpis.0075.01.03001	kpi	1	1
seri.gtms.0075.01.00008.02	gtms.0075.01.00008	kpis.0075.01.04002	kpi	2	1
dshd.0075.01.003.gtms.0075.01.sdcch_and_tch_assignment	dshd.0075.01.003	gtms.0075.01.sdcch_and_tch_assignment	graph	2	1
seri.gtms.0075.01.sdcch_and_tch_assignment.kpis.0075.01.01001	gtms.0075.01.sdcch_and_tch_assignment	kpis.0075.01.01001	kpi	1	1
seri.gtms.0075.01.sdcch_and_tch_assignment.kpis.0075.01.03001	gtms.0075.01.sdcch_and_tch_assignment	kpis.0075.01.03001	kpi	2	1
seri.gtms.0075.01.sdcch_and_tch_assignment.kpis.0075.01.01009	gtms.0075.01.sdcch_and_tch_assignment	kpis.0075.01.01009	kpi	3	1
seri.gtms.0075.01.sdcch_and_tch_assignment.kpis.0075.01.03003	gtms.0075.01.sdcch_and_tch_assignment	kpis.0075.01.03003	kpi	4	1
dshd.0075.01.003.gtms.0075.01.sdcch_blocking_and_drop	dshd.0075.01.003	gtms.0075.01.sdcch_blocking_and_drop	graph	3	1
seri.gtms.0075.01.sdcch_blocking_and_drop.kpis.0075.01.01001	gtms.0075.01.sdcch_blocking_and_drop	kpis.0075.01.01001	kpi	1	1
seri.gtms.0075.01.sdcch_blocking_and_drop.kpis.0075.01.06002	gtms.0075.01.sdcch_blocking_and_drop	kpis.0075.01.06002	kpi	2	1
seri.gtms.0075.01.sdcch_blocking_and_drop.kpis.0075.01.08003	gtms.0075.01.sdcch_blocking_and_drop	kpis.0075.01.08003	kpi	3	1
seri.gtms.0075.01.sdcch_blocking_and_drop.kpis.0075.01.06003	gtms.0075.01.sdcch_blocking_and_drop	kpis.0075.01.06003	kpi	4	1
dshd.0075.01.003.gtms.0075.01.call_blocking_and_drop	dshd.0075.01.003	gtms.0075.01.call_blocking_and_drop	graph	4	1
