id_ligne	id_group_table	network_agregation	network_agregation_label	rank	data_type	on_off	comment	deploy_status	id_source
101	1	cell	Cell	-1	raw	1		0	101
102	1	usercluster1	UserCellCluster1	101	raw	1		0	101
103	1	usercluster2	UserCellCluster2	101	raw	1		0	101
104	1	usercluster3	UserCellCluster3	101	raw	1		0	101
105	1	enodeb	eNodeB	101	raw	1		0	101
106	1	ta	Tracking Area	101	raw	1		0	101
107	1	sgw	SGW	101	raw	1		0	101
108	1	vendor	Vendor	105	raw	1		0	105
109	1	mme	MME	106	raw	1		0	106
110	1	network	Network	109	raw	1		0	109
151	1	cell	Cell	-1	kpi	1		0	151
152	1	usercluster1	UserCellCluster1	151	kpi	1		0	151
153	1	usercluster2	UserCellCluster2	151	kpi	1		0	151
154	1	usercluster3	UserCellCluster3	151	kpi	1		0	151
155	1	enodeb	eNodeB	151	kpi	1		0	151
156	1	ta	Tracking Area	151	kpi	1		0	151
157	1	sgw	SGW	151	kpi	1		0	151
158	1	vendor	Vendor	155	kpi	1		0	155
159	1	mme	MME	156	kpi	1		0	156
160	1	network	Network	159	kpi	1		0	159
