id_ligne	kpi_name	edw_group_table	kpi_label	comment	kpi_formula	pourcentage	on_off	value_type	new_field	visible	numerator_denominator	kpi_type
kpis.0077.01.ri_capture_duration	RI_CAPTURE_DURATION	edw_erilte_cellb_axe1	RI CAPTURE DURATION	RI CAPTURE DURATION	CASE WHEN (capture_duration/capture_duration_expected)*100>100 THEN 100 ELSE (capture_duration/capture_duration_expected)*100 END	1	1	customisateur	1	0	total	float4
kpis.0077.01.initial_erab_setup_sucess_rate	INITIAL_ERAB_SETUP_SUCESS_RATE	edw_erilte_cellb_axe1	Initial E-RAB setup sucess rate	The KPI shows probability for an end-user to be successfully provided with a service that are carried by E-RABs included in initial context setup procedure. The success rate E-RAB establishment depends on the successful establishment of the RRC connection and S1 signalling between the RBS and the Mobile Management Entity (MME). Hence, the formula is RRC establishment success rate x S1-Sig stablishment success rate x Initial E-RAB setup success rate 	CASE WHEN 100*pmRrcConnEstabSucc/(pmRrcConnEstabAtt-pmZtemporary9)*pmS1SigConnEstabSucc/pmS1SigConnEstabAtt*pmErabEstabSuccInit/pmErabEstabAttInit>100 THEN 100 ELSE 100*pmRrcConnEstabSucc/(pmRrcConnEstabAtt-pmZtemporary9)*pmS1SigConnEstabSucc/pmS1SigConnEstabAtt*pmErabEstabSuccInit/pmErabEstabAttInit END	1	1	customisateur	1	1	total	float4
kpis.0077.01.rrc_connections_success_rate	RRC_CONNECTIONS_SUCCESS_RATE	edw_erilte_cellb_axe1	RRC connections success rate	RRC connections success rate 	CASE WHEN 100*pmRrcConnEstabSucc/(pmRrcConnEstabAtt-pmZtemporary9)>100 THEN 100 ELSE 100*pmRrcConnEstabSucc/(pmRrcConnEstabAtt-pmZtemporary9) END	1	1	customisateur	1	1	total	float4
kpis.0077.01.rrc_connections_success	RRC_CONNECTIONS_SUCCESS	edw_erilte_cellb_axe1	RRC connections success	Total number of RRC connection success 	pmRrcConnEstabSucc	0	1	customisateur	1	1	total	float4
kpis.0077.01.rrc_connections_attempts	RRC_CONNECTIONS_ATTEMPTS	edw_erilte_cellb_axe1	RRC connections attempts	Total number of RRC connection requests 	pmRrcConnEstabAtt-pmZtemporary9	0	1	customisateur	1	1	total	float4
kpis.0077.01.s1_signaling_success_rate	S1_Signaling_SUCCESS_RATE	edw_erilte_cellb_axe1	S1 signaling success rate	S1 signaling success rate 	CASE WHEN 100*pmS1SigConnEstabSucc/pmS1SigConnEstabAtt>100 THEN 100 ELSE 100*pmS1SigConnEstabSucc/pmS1SigConnEstabAtt END	1	1	customisateur	1	1	total	float4
kpis.0077.01.s1_signaling_success	S1_Signaling_SUCCESS	edw_erilte_cellb_axe1	S1 signaling success	Total number of S1 signaling success 	pmS1SigConnEstabSucc	0	1	customisateur	1	1	total	float4
kpis.0077.01.s1_signaling_attempts	S1_Signaling_ATTEMPTS	edw_erilte_cellb_axe1	S1 signaling attempts	Total number of S1 signaling requests 	pmS1SigConnEstabAtt	0	1	customisateur	1	1	total	float4
kpis.0077.01.initial_erab_establishment_sucess_rate	INITIAL_ERAB_ESTABLISHMENT_SUCESS_RATE	edw_erilte_cellb_axe1	Initial E-RAB establishment sucess rate	The KPI shows for initial E-RAB the percentage of success over the requests 	CASE WHEN 100*pmErabEstabSuccInit/pmErabEstabAttInit>100 THEN 100 ELSE 100*pmErabEstabSuccInit/pmErabEstabAttInit END	1	1	customisateur	1	1	total	float4
kpis.0077.01.initial_erab_establishment_sucess	INITIAL_ERAB_ESTABLISHMENT_SUCESS	edw_erilte_cellb_axe1	Initial E-RAB establishment sucess	Total number of initial E-RAB success 	pmErabEstabSuccInit	0	1	customisateur	1	1	total	float4
