id	id_page	id_elem	class_object	ligne	id_product
dshd.0077.01.overview.gtms.0077.01.initial_e-rab_setup	dshd.0077.01.overview	gtms.0077.01.initial_e-rab_setup	graph	1	1
seri.gtms.0077.01.initial_e-rab_setup.kpis.0077.01.initial_erab_establishment_attempts	gtms.0077.01.initial_e-rab_setup	kpis.0077.01.initial_erab_establishment_attempts	kpi	1	1
seri.gtms.0077.01.initial_e-rab_setup.kpis.0077.01.initial_erab_setup_sucess_rate	gtms.0077.01.initial_e-rab_setup	kpis.0077.01.initial_erab_setup_sucess_rate	kpi	2	1
dshd.0077.01.overview.gtms.0077.01.e-rab_drop	dshd.0077.01.overview	gtms.0077.01.e-rab_drop	graph	2	1
seri.gtms.0077.01.e-rab_drop.kpis.0077.01.erab_successfully_established	gtms.0077.01.e-rab_drop	kpis.0077.01.erab_successfully_established	kpi	1	1
seri.gtms.0077.01.e-rab_drop.kpis.0077.01.erab_drop_rate	gtms.0077.01.e-rab_drop	kpis.0077.01.erab_drop_rate	kpi	2	1
dshd.0077.01.overview.gtms.0077.01.e-rab_retainability	dshd.0077.01.overview	gtms.0077.01.e-rab_retainability	graph	3	1
seri.gtms.0077.01.e-rab_retainability.kpis.0077.01.erab_drops_per_second	gtms.0077.01.e-rab_retainability	kpis.0077.01.erab_drops_per_second	kpi	1	1
dshd.0077.01.overview.gtms.0077.01.throughput	dshd.0077.01.overview	gtms.0077.01.throughput	graph	4	1
seri.gtms.0077.01.throughput.kpis.0077.01.downlink_data_volume	gtms.0077.01.throughput	kpis.0077.01.downlink_data_volume	kpi	1	1
seri.gtms.0077.01.throughput.kpis.0077.01.uplink_data_volume	gtms.0077.01.throughput	kpis.0077.01.uplink_data_volume	kpi	2	1
seri.gtms.0077.01.throughput.kpis.0077.01.downlink_throughput	gtms.0077.01.throughput	kpis.0077.01.downlink_throughput	kpi	3	1
seri.gtms.0077.01.throughput.kpis.0077.01.uplink_throughput	gtms.0077.01.throughput	kpis.0077.01.uplink_throughput	kpi	4	1
dshd.0077.01.overview.gtms.0077.01.mobility	dshd.0077.01.overview	gtms.0077.01.mobility	graph	5	1
seri.gtms.0077.01.mobility.kpis.0077.01.ho_preparation_attempts	gtms.0077.01.mobility	kpis.0077.01.ho_preparation_attempts	kpi	1	1
seri.gtms.0077.01.mobility.kpis.0077.01.ho_execution_attempts	gtms.0077.01.mobility	kpis.0077.01.ho_execution_attempts	kpi	2	1
seri.gtms.0077.01.mobility.kpis.0077.01.mobility_success_rate	gtms.0077.01.mobility	kpis.0077.01.mobility_success_rate	kpi	3	1
dshd.0077.01.overview.gtms.0077.01.cell_availability	dshd.0077.01.overview	gtms.0077.01.cell_availability	graph	6	1
seri.gtms.0077.01.cell_availability.kpis.0077.01.cell_available_time	gtms.0077.01.cell_availability	kpis.0077.01.cell_available_time	kpi	1	1
seri.gtms.0077.01.cell_availability.kpis.0077.01.cell_availability	gtms.0077.01.cell_availability	kpis.0077.01.cell_availability	kpi	2	1
