id_data	data_legend	position_ordonnee	display_type	line_design	color	filled_color
seri.gtms.0071.01.00001.01	Call Setup Succes Rate (CSSR)	left	line	square	#0099FF	#ffffff@1
seri.gtms.0071.01.00001.02	NB RAB ESTABLISHMENT ATTEMPT	right	bar	none	#333333	#33FF00@0.5
seri.gtms.0071.01.00002.01	Call Setup Succes Rate (CSSR) CS	left	line	circle	#9933FF	#ffffff@1
seri.gtms.0071.01.00002.02	NB RAB ESTABLISHMENT ATTEMPT CS	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0071.01.00003.01	Call Setup Succes Rate (CSSR) PS	left	line	circle	#FF0000	#ffffff@1
seri.gtms.0071.01.00003.02	NB RAB ESTABLISHMENT ATTEMPT PS	right	bar	none	#333333	#9900FF@0.5
seri.gtms.0071.01.00004.01	CALL DROP RATE	left	line	square	#FF0000	#ffffff@1
seri.gtms.0071.01.00004.02	NB RAB RELEASE	right	bar	none	#333333	#FFAA00@0.5
seri.gtms.0071.01.00005.01	CALL DROP RATE CS	left	line	circle	#33FF00	#ffffff@1
seri.gtms.0071.01.00005.02	NB RAB RELEASE CS	right	bar	none	#333333	#006600@0.5
seri.gtms.0071.01.00006.01	CALL DROP RATE PS	left	line	circle	#0000FF	#ffffff@1
seri.gtms.0071.01.00006.02	NB RAB RELEASE PS	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0071.01.00007.01	RRC CONNECTION SETUP SR	left	line	square	#FF0000	#ffffff@1
seri.gtms.0071.01.00007.02	NB RRC CONNECTION REQ	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0071.01.00008.01	RRC CONNECTION SETUP SR CS SERV	left	line	square	#FF0000	#ffffff@1
seri.gtms.0071.01.00008.03	RRC CONNECTION SETUP SR PS SERV	left	line	circle	#33FF00	#ffffff@1
seri.gtms.0071.01.00008.04	NB RRC CONNECTION REQ PS SERV	right	cumulatedbar	none	#333333	#006600@0.5
seri.gtms.0071.01.00008.05	NB RRC CONNECTION REQ SMS	right	cumulatedbar	none	#333333	#FF0099@0.5
seri.gtms.0071.01.00008.02	NB RRC CONNECTION REQ CS SERV	right	cumulatedbar	none	#333333	#0099FF@0.5
seri.gtms.0071.01.00009.01	RAB ESTABLISHMENT SR	left	line	square	#FF0000	#ffffff@1
seri.gtms.0071.01.00009.02	NB RAB ESTABLISHMENT ATTEMPT	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0071.01.00010.01	RAB ESTABLISHMENT SR SPEECH	left	line	square	#FF0000	#ffffff@1
seri.gtms.0071.01.00010.02	NB RAB ESTABLISHMENT ATTEMPT SPEECH	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0071.01.00010.03	RAB ESTABLISHMENT SR Real Time CS DATA	left	line	circle	#33FF00	#ffffff@1
seri.gtms.0071.01.00010.04	NB RAB ESTABLISHMENT ATTEMPT Real Time CS DATA	right	bar	none	#333333	#006600@0.5
seri.gtms.0071.01.00011.01	RAB ESTABLISHMENT SR Real Time PS DATA	left	line	square	#0099FF	#ffffff@1
seri.gtms.0071.01.00011.02	NB RAB ESTABLISHMENT ATTEMPT Real Time PS DATA	right	bar	none	#333333	#0000FF@0.5
seri.gtms.0071.01.00011.03	RAB ESTABLISHMENT SR PS Non Real Time PS DATA	left	line	circle	#006600	#ffffff@1
seri.gtms.0071.01.00011.04	NB RAB ESTABLISHMENT ATTEMPT Non Real Time PS DATA	right	bar	none	#333333	#FF0055@0.5
seri.gtms.0071.01.00012.01	RAB ESTABLISHMENT SR HSDPA	left	line	square	#FF0000	#ffffff@1
seri.gtms.0071.01.00012.02	NB RAB ESTABLISHMENT ATTEMPT HSDPA	right	bar	none	#333333	#0099FF@0.5
