id_ligne	id_group_table	time_agregation	time_agregation_label	id_source	data_type	on_off	comment	deploy_status
1	1	hour	hour	-1	raw	1		0
3	1	day	day	1	raw	1		0
5	1	week	week	3	raw	1		0
7	1	month	month	3	raw	1		0
9	1	day_bh	day_bh	1	raw	1		0
11	1	week_bh	week_bh	9	raw	1		0
13	1	month_bh	month_bh	9	raw	1		0
2	1	hour	hour	-1	kpi	1		0
4	1	day	day	2	kpi	1		0
6	1	week	week	4	kpi	1		0
8	1	month	month	4	kpi	1		0
10	1	day_bh	day_bh	2	kpi	1		0
12	1	week_bh	week_bh	10	kpi	1		0
14	1	month_bh	month_bh	10	kpi	1		0
15	2	hour	hour	-1	raw	1		0
17	2	day	day	15	raw	1		0
19	2	week	week	17	raw	1		0
21	2	month	month	17	raw	1		0
23	2	day_bh	day_bh	15	raw	1		0
25	2	week_bh	week_bh	23	raw	1		0
27	2	month_bh	month_bh	23	raw	1		0
16	2	hour	hour	-1	kpi	1		0
18	2	day	day	16	kpi	1		0
20	2	week	week	18	kpi	1		0
22	2	month	month	18	kpi	1		0
24	2	day_bh	day_bh	16	kpi	1		0
26	2	week_bh	week_bh	24	kpi	1		0
28	2	month_bh	month_bh	24	kpi	1		0
29	3	hour	hour	-1	raw	1		0
31	3	day	day	29	raw	1		0
33	3	week	week	31	raw	1		0
35	3	month	month	31	raw	1		0
37	3	day_bh	day_bh	29	raw	1		0
39	3	week_bh	week_bh	37	raw	1		0
41	3	month_bh	month_bh	37	raw	1		0
30	3	hour	hour	-1	kpi	1		0
32	3	day	day	30	kpi	1		0
34	3	week	week	32	kpi	1		0
36	3	month	month	32	kpi	1		0
38	3	day_bh	day_bh	30	kpi	1		0
40	3	week_bh	week_bh	38	kpi	1		0
42	3	month_bh	month_bh	38	kpi	1		0
43	4	hour	hour	-1	raw	1		0
45	4	day	day	43	raw	1		0
47	4	week	week	45	raw	1		0
49	4	month	month	45	raw	1		0
51	4	day_bh	day_bh	43	raw	1		0
53	4	week_bh	week_bh	51	raw	1		0
55	4	month_bh	month_bh	51	raw	1		0
44	4	hour	hour	-1	kpi	1		0
46	4	day	day	44	kpi	1		0
48	4	week	week	46	kpi	1		0
50	4	month	month	46	kpi	1		0
52	4	day_bh	day_bh	44	kpi	1		0
54	4	week_bh	week_bh	52	kpi	1		0
56	4	month_bh	month_bh	52	kpi	1		0
57	5	hour	hour	-1	raw	1		0
59	5	day	day	57	raw	1		0
61	5	week	week	59	raw	1		0
63	5	month	month	59	raw	1		0
65	5	day_bh	day_bh	57	raw	1		0
67	5	week_bh	week_bh	65	raw	1		0
69	5	month_bh	month_bh	65	raw	1		0
58	5	hour	hour	-1	kpi	1		0
60	5	day	day	58	kpi	1		0
62	5	week	week	60	kpi	1		0
64	5	month	month	60	kpi	1		0
66	5	day_bh	day_bh	58	kpi	1		0
68	5	week_bh	week_bh	66	kpi	1		0
70	5	month_bh	month_bh	66	kpi	1		0
71	6	hour	hour	-1	raw	1		0
73	6	day	day	71	raw	1		0
75	6	week	week	73	raw	1		0
77	6	month	month	73	raw	1		0
79	6	day_bh	day_bh	71	raw	1		0
81	6	week_bh	week_bh	79	raw	1		0
83	6	month_bh	month_bh	79	raw	1		0
72	6	hour	hour	-1	kpi	1		0
74	6	day	day	72	kpi	1		0
76	6	week	week	74	kpi	1		0
78	6	month	month	74	kpi	1		0
80	6	day_bh	day_bh	72	kpi	1		0
82	6	week_bh	week_bh	80	kpi	1		0
84	6	month_bh	month_bh	80	kpi	1		0
85	7	hour	hour	-1	raw	1		0
87	7	day	day	85	raw	1		0
89	7	week	week	87	raw	1		0
91	7	month	month	87	raw	1		0
93	7	day_bh	day_bh	85	raw	1		0
95	7	week_bh	week_bh	93	raw	1		0
97	7	month_bh	month_bh	93	raw	1		0
86	7	hour	hour	-1	kpi	1		0
88	7	day	day	86	kpi	1		0
90	7	week	week	88	kpi	1		0
92	7	month	month	88	kpi	1		0
94	7	day_bh	day_bh	86	kpi	1		0
96	7	week_bh	week_bh	94	kpi	1		0
98	7	month_bh	month_bh	94	kpi	1		0
99	8	hour	hour	-1	raw	1		0
101	8	day	day	99	raw	1		0
103	8	week	week	101	raw	1		0
105	8	month	month	101	raw	1		0
107	8	day_bh	day_bh	99	raw	1		0
109	8	week_bh	week_bh	107	raw	1		0
111	8	month_bh	month_bh	107	raw	1		0
100	8	hour	hour	-1	kpi	1		0
102	8	day	day	100	kpi	1		0
104	8	week	week	102	kpi	1		0
106	8	month	month	102	kpi	1		0
108	8	day_bh	day_bh	100	kpi	1		0
110	8	week_bh	week_bh	108	kpi	1		0
112	8	month_bh	month_bh	108	kpi	1		0
