id_ligne	kpi_name	edw_group_table	kpi_label	comment	kpi_formula	pourcentage	on_off	value_type	new_field	visible	numerator_denominator	kpi_type
kpis.0071.01.01001	RI_CAPTURE_DURATION	edw_eriran_cellb_axe1	RI CAPTURE DURATION	RI CAPTURE DURATION	CASE WHEN (capture_duration/capture_duration_expected)*100>100 THEN 100 ELSE (capture_duration/capture_duration_expected)*100 END	1	1	customisateur	1	0	total	float4
kpis.0071.01.01002	BLOCKING_RATE_HS	edw_eriran_cellb_axe1	BLOCKING RATE HSDPA	GoS - Percentage of admission control blocked calls for HSDPA 	CASE WHEN (pmNoRrcPsReqDeniedAdm/pmTotNoRrcConnectReqPs)*(pmNoOfNonHoReqDeniedHs/pmNoRabEstablishAttemptPacketInteractiveHs)*100>100 THEN 100 ELSE (pmNoRrcPsReqDeniedAdm/pmTotNoRrcConnectReqPs)*(pmNoOfNonHoReqDeniedHs/pmNoRabEstablishAttemptPacketInteractiveHs)*100 END	1	1	customisateur	1	1	total	float4
kpis.0071.01.01003	BLOCKING_RATE_NRT_PS_DATA	edw_eriran_cellb_axe1	BLOCKING RATE Non Real Time PS DATA	GoS - Percentage of admission control blocked calls for Non Real Time PS DATA 	CASE WHEN (pmNoRrcPsReqDeniedAdm/pmTotNoRrcConnectReqPs)*pmNoOfNonHoReqDeniedInteractive/pmNoRabEstablishAttemptPacketInteractive*100>100 THEN 100 ELSE (pmNoRrcPsReqDeniedAdm/pmTotNoRrcConnectReqPs)*pmNoOfNonHoReqDeniedInteractive/pmNoRabEstablishAttemptPacketInteractive*100 END	1	1	customisateur	1	1	total	float4
kpis.0071.01.01004	BLOCKING_RATE_RT_PS_DATA	edw_eriran_cellb_axe1	BLOCKING RATE Real Time PS DATA	GoS - Percentage of admission control blocked calls for Real Time PS DATA 	CASE WHEN ((pmNoOfNonHoReqDeniedPsStreaming+pmNoOfNonHoReqDeniedPsStr128)/(pmNoRabEstablishAttemptPacketStream+pmNoRabEstablishAttemptPacketStream128))*100>100 THEN 100 ELSE ((pmNoOfNonHoReqDeniedPsStreaming+pmNoOfNonHoReqDeniedPsStr128)/(pmNoRabEstablishAttemptPacketStream+pmNoRabEstablishAttemptPacketStream128))*100 END	1	1	customisateur	1	1	total	float4
kpis.0071.01.01005	BLOCKING_RATE_SPEECH	edw_eriran_cellb_axe1	BLOCKING RATE SPEECH	GoS - Percentage of admission control blocked calls for speech 	CASE WHEN (pmNoRrcCsReqDeniedAdm/pmTotNoRrcConnectReqCs)*(pmNoOfNonHoReqDeniedSpeech/pmNoRabEstablishAttemptSpeech)*100>100 THEN 100 ELSE (pmNoRrcCsReqDeniedAdm/pmTotNoRrcConnectReqCs)*(pmNoOfNonHoReqDeniedSpeech/pmNoRabEstablishAttemptSpeech)*100 END	1	1	customisateur	1	1	total	float4
kpis.0071.01.01006	BLOCKING_RATE_RT_CS_DATA	edw_eriran_cellb_axe1	BLOCKING RATE Real Time CS DATA	GoS - Percentage of admission control blocked calls for Real Time CS DATA 	CASE WHEN (pmNoRrcCsReqDeniedAdm/pmTotNoRrcConnectReqCs)*(pmNoOfNonHoReqDeniedCs/(pmNoRabEstablishAttemptCS64+pmNoRabEstablishAttemptCs57))*100>100 THEN 100 ELSE (pmNoRrcCsReqDeniedAdm/pmTotNoRrcConnectReqCs)*(pmNoOfNonHoReqDeniedCs/(pmNoRabEstablishAttemptCS64+pmNoRabEstablishAttemptCs57))*100 END	1	1	customisateur	1	1	total	float4
kpis.0071.01.01007	CALL_DROP_RATE	edw_eriran_cellb_axe1	CALL DROP RATE	call drop rate (calculated from RAB drop rate) 	CASE WHEN (pmNoSystemRabReleasePacket+pmNoSystemRabReleasePacketStream+pmNoSystemRabReleasePacketStream128+pmNoSystemRabReleaseSpeech+pmNoSystemRabReleaseCS64)/((pmNoNormalRabReleasePacket+pmNoNormalRabReleasePacketStream+pmNoNormalRabReleasePacketStream128+pmNoNormalRabReleaseSpeech+pmNoNormalRabReleaseCS64)+(pmNoSystemRabReleasePacket+pmNoSystemRabReleasePacketStream+pmNoSystemRabReleasePacketStream128+pmNoSystemRabReleaseSpeech+pmNoSystemRabReleaseCS64))*100>100 THEN 100 ELSE (pmNoSystemRabReleasePacket+pmNoSystemRabReleasePacketStream+pmNoSystemRabReleasePacketStream128+pmNoSystemRabReleaseSpeech+pmNoSystemRabReleaseCS64)/((pmNoNormalRabReleasePacket+pmNoNormalRabReleasePacketStream+pmNoNormalRabReleasePacketStream128+pmNoNormalRabReleaseSpeech+pmNoNormalRabReleaseCS64)+(pmNoSystemRabReleasePacket+pmNoSystemRabReleasePacketStream+pmNoSystemRabReleasePacketStream128+pmNoSystemRabReleaseSpeech+pmNoSystemRabReleaseCS64))*100 END	1	1	customisateur	1	1	total	float4
kpis.0071.01.01008	CALL_DROP_RATE_CS	edw_eriran_cellb_axe1	CALL DROP RATE CS	call drop rate for CS domain (calculated from CS RAB drop rate) 	CASE WHEN (pmNoSystemRabReleaseSpeech+pmNoSystemRabReleaseCS64)/((pmNoNormalRabReleaseSpeech+pmNoNormalRabReleaseCS64)+(pmNoSystemRabReleaseSpeech+pmNoSystemRabReleaseCS64))*100>100 THEN 100 ELSE (pmNoSystemRabReleaseSpeech+pmNoSystemRabReleaseCS64)/((pmNoNormalRabReleaseSpeech+pmNoNormalRabReleaseCS64)+(pmNoSystemRabReleaseSpeech+pmNoSystemRabReleaseCS64))*100 END	1	1	customisateur	1	1	total	float4
kpis.0071.01.01009	CALL_DROP_RATE_PS	edw_eriran_cellb_axe1	CALL DROP RATE PS	call drop rate for PS domain (calculated from PS RAB drop rate) 	CASE WHEN (pmNoSystemRabReleasePacket+pmNoSystemRabReleasePacketStream+pmNoSystemRabReleasePacketStream128)/((pmNoNormalRabReleasePacket+pmNoNormalRabReleasePacketStream+pmNoNormalRabReleasePacketStream128)+(pmNoSystemRabReleasePacket+pmNoSystemRabReleasePacketStream+pmNoSystemRabReleasePacketStream128))*100>100 THEN 100 ELSE (pmNoSystemRabReleasePacket+pmNoSystemRabReleasePacketStream+pmNoSystemRabReleasePacketStream128)/((pmNoNormalRabReleasePacket+pmNoNormalRabReleasePacketStream+pmNoNormalRabReleasePacketStream128)+(pmNoSystemRabReleasePacket+pmNoSystemRabReleasePacketStream+pmNoSystemRabReleasePacketStream128))*100 END	1	1	customisateur	1	1	total	float4
kpis.0071.01.01010	CALL_DROP_RATE_EUL	edw_eriran_cellb_axe1	CALL DROP RATE EUL (HSUPA)	Call drop rate for HSUPA (calculated from RAB drop rate) 	CASE WHEN (pmNoSystemRbReleaseEul/(pmNoNormalRbReleaseEul+pmNoSystemRbReleaseEul+pmNoSuccRbReconfOrigPsIntEul+pmPsIntHsToFachSucc))*100>100 THEN 100 ELSE (pmNoSystemRbReleaseEul/(pmNoNormalRbReleaseEul+pmNoSystemRbReleaseEul+pmNoSuccRbReconfOrigPsIntEul+pmPsIntHsToFachSucc))*100 END	1	1	customisateur	1	1	total	float4
kpis.0071.01.01011	CALL_DROP_RATE_HS	edw_eriran_cellb_axe1	CALL DROP RATE HSDPA	Call drop rate for HSDPA (calculated from RAB drop rate) 	CASE WHEN (pmNoSystemRbReleaseHs/(pmNoNormalRbReleaseHs+pmNoSystemRbReleaseHs+pmNoSuccRbReconfPsIntDch+pmPsIntHsToFachSucc))*100>100 THEN 100 ELSE (pmNoSystemRbReleaseHs/(pmNoNormalRbReleaseHs+pmNoSystemRbReleaseHs+pmNoSuccRbReconfPsIntDch+pmPsIntHsToFachSucc))*100 END	1	1	customisateur	1	1	total	float4
