agregation_rank	agregation	agregation_type	on_off	agregation_name	agregation_mixed	agregation_label	agregation_level	source_default	level_operand	level_source	mandatory	family	voronoi_polygon_calculation	axe	link_to_aa	limit_3rd_axis	na_max_unique	na_parent_unique	sdna_id	third_axis_default_level	uniq_label	link_to_ne
1	cell	text	1	cell		Cell	1	cell	=	cell	1	cellb	1					1	sdna.0071.01.00001	0	1	
2	usercluster1	text	1	usercluster1		UserCellCluster1	2	cell	>	cell	1	cellb	1					1	sdna.0071.01.00002	0	1	
3	usercluster2	text	1	usercluster2		UserCellCluster2	2	cell	>	cell	1	cellb	1					1	sdna.0071.01.00003	0	1	
4	usercluster3	text	1	usercluster3		UserCellCluster3	2	cell	>	cell	1	cellb	1					1	sdna.0071.01.00004	0	1	
5	rnc	text	1	rnc		RNC	2	cell	>	cell	1	cellb	1					1	sdna.0071.01.00005	0	1	
6	network	text	1	network		Network	3	rnc	>	rnc	1	cellb	1				1	1	sdna.0071.01.00006	0	1	
7	vendor	text	1	vendor		Vendor	3	rnc	>	rnc	1	cellb	1				1	1	sdna.0071.01.00007	0	1	
1	iubl	text	1	iubl		IUB_LINK	1	iubl	=	iubl	1	iubl	1					1	sdna.0071.02.00001	0	1	
2	rnc	text	1	rnc		RNC	2	iubl	>	iubl	1	iubl	1					1	sdna.0071.02.00002	0	1	
3	network	text	1	network		Network	3	rnc	>	rnc	1	iubl	1				1	1	sdna.0071.02.00003	0	1	
1	iurl	text	1	iurl		IUR_LINK	1	iurl	=	iurl	1	iurl	1					1	sdna.0071.03.00001	0	1	
2	rnc	text	1	rnc		RNC	2	iurl	>	iurl	1	iurl	1					1	sdna.0071.03.00002	0	1	
3	network	text	1	network		Network	3	rnc	>	rnc	1	iurl	1				1	1	sdna.0071.03.00003	0	1	
1	stc	text	1	stc		Source Target Cell	1	stc	=	stc	1	adj	1					1	sdna.0071.04.00001	0	1	
2	sourcecell	text	1	sourcecell		Source Cell	2	stc	>	stc	1	adj	1					1	sdna.0071.04.00002	0	1	
3	network	text	1	network		Network	3	sourcecell	>	sourcecell	1	adj	1				1	1	sdna.0071.04.00003	0	1	
1	lac	text	1	lac		LAC	1	lac	=	lac	1	lac	1					1	sdna.0071.05.00001	0	1	
2	rnc	text	1	rnc		RNC	2	lac	>	lac	1	lac	1					1	sdna.0071.05.00002	0	1	
3	network	text	1	network		Network	3	rnc	>	rnc	1	lac	1				1	1	sdna.0071.05.00003	0	1	
4	vendor	text	1	vendor		Vendor	3	rnc	>	rnc	1	lac	1				1	1	sdna.0071.05.00004	0	1	
1	rac	text	1	rac		RAC	1	rac	=	rac	1	rac	1					1	sdna.0071.06.00001	0	1	
2	rnc	text	1	rnc		RNC	2	rac	>	rac	1	rac	1					1	sdna.0071.06.00002	0	1	
3	network	text	1	network		Network	3	rnc	>	rnc	1	rac	1				1	1	sdna.0071.06.00003	0	1	
4	vendor	text	1	vendor		Vendor	3	rnc	>	rnc	1	rac	1				1	1	sdna.0071.06.00004	0	1	
1	sse	text	1	sse		Node-B_Sub_sub_element	1	sse	=	sse	1	nodeb	1					1	sdna.0071.07.sse	0	1	
2	se	text	1	se		Node-B_Sub_element	2	sse	>	sse	1	nodeb	1					1	sdna.0071.07.se	0	1	
3	nodeb	text	1	nodeb		Node-B	3	se	>	se	1	nodeb	1					1	sdna.0071.07.nodeb	0	1	
4	rnc	text	1	rnc		RNC	4	nodeb	>	nodeb	1	nodeb	1					1	sdna.0071.07.rnc	0	1	
5	network	text	1	network		Network	5	rnc	>	rnc	1	nodeb	1				1	1	sdna.0071.07.network	0	1	
6	vendor	text	1	vendor		Vendor	5	rnc	>	rnc	1	nodeb	1				1	1	sdna.0071.07.vendor	0	1	
1	rncsse	text	1	rncsse		RNC_Sub_sub_element	1	rncsse	=	rncsse	1	rnc	1					1	sdna.0071.08.rncsse	0	1	
2	rncse	text	1	rncse		RNC_Sub_element	2	rncsse	>	rncsse	1	rnc	1					1	sdna.0071.08.rncse	0	1	
3	rnc	text	1	rnc		RNC	3	rncse	>	rncse	1	rnc	1					1	sdna.0071.08.rnc	0	1	
4	network	text	1	network		Network	4	rnc	>	rnc	1	rnc	1				1	1	sdna.0071.08.network	0	1	
5	vendor	text	1	vendor		Vendor	4	rnc	>	rnc	1	rnc	1				1	1	sdna.0071.08.vendor	0	1	
