id	id_page	id_elem	class_object	ligne	id_product
dshd.0071.01.001.gtm.01	dshd.0071.01.001	gtms.0071.01.00001	graph	1	1
seri.gtms.0071.01.00001.01	gtms.0071.01.00001	kpis.0071.01.01053	kpi	1	1
seri.gtms.0071.01.00001.02	gtms.0071.01.00001	kpis.0071.01.01096	kpi	2	1
dshd.0071.01.001.gtm.02	dshd.0071.01.001	gtms.0071.01.00002	graph	2	1
seri.gtms.0071.01.00002.01	gtms.0071.01.00002	kpis.0071.01.01054	kpi	1	1
seri.gtms.0071.01.00002.02	gtms.0071.01.00002	kpis.0071.01.01097	kpi	2	1
dshd.0071.01.001.gtm.03	dshd.0071.01.001	gtms.0071.01.00003	graph	3	1
seri.gtms.0071.01.00003.01	gtms.0071.01.00003	kpis.0071.01.01055	kpi	1	1
seri.gtms.0071.01.00003.02	gtms.0071.01.00003	kpis.0071.01.01098	kpi	2	1
dshd.0071.01.002.gtm.01	dshd.0071.01.002	gtms.0071.01.00004	graph	1	1
seri.gtms.0071.01.00004.01	gtms.0071.01.00004	kpis.0071.01.01007	kpi	1	1
seri.gtms.0071.01.00004.02	gtms.0071.01.00004	kpis.0071.01.01016	kpi	2	1
dshd.0071.01.002.gtm.02	dshd.0071.01.002	gtms.0071.01.00005	graph	2	1
seri.gtms.0071.01.00005.01	gtms.0071.01.00005	kpis.0071.01.01008	kpi	1	1
seri.gtms.0071.01.00005.02	gtms.0071.01.00005	kpis.0071.01.01017	kpi	2	1
dshd.0071.01.002.gtm.03	dshd.0071.01.002	gtms.0071.01.00006	graph	3	1
seri.gtms.0071.01.00006.01	gtms.0071.01.00006	kpis.0071.01.01009	kpi	1	1
seri.gtms.0071.01.00006.02	gtms.0071.01.00006	kpis.0071.01.01018	kpi	2	1
dshd.0071.01.003.gtm.01	dshd.0071.01.003	gtms.0071.01.00007	graph	1	1
seri.gtms.0071.01.00007.01	gtms.0071.01.00007	kpis.0071.01.01133	kpi	1	1
seri.gtms.0071.01.00007.02	gtms.0071.01.00007	kpis.0071.01.01134	kpi	2	1
dshd.0071.01.003.gtm.02	dshd.0071.01.003	gtms.0071.01.00008	graph	2	1
seri.gtms.0071.01.00008.01	gtms.0071.01.00008	kpis.0071.01.01135	kpi	1	1
seri.gtms.0071.01.00008.03	gtms.0071.01.00008	kpis.0071.01.01136	kpi	2	1
seri.gtms.0071.01.00008.04	gtms.0071.01.00008	kpis.0071.01.01138	kpi	3	1
seri.gtms.0071.01.00008.05	gtms.0071.01.00008	kpis.0071.01.01139	kpi	4	1
seri.gtms.0071.01.00008.02	gtms.0071.01.00008	kpis.0071.01.01137	kpi	5	1
dshd.0071.01.004.gtm.01	dshd.0071.01.004	gtms.0071.01.00009	graph	1	1
seri.gtms.0071.01.00009.01	gtms.0071.01.00009	kpis.0071.01.01095	kpi	1	1
seri.gtms.0071.01.00009.02	gtms.0071.01.00009	kpis.0071.01.01096	kpi	2	1
dshd.0071.01.004.gtm.02	dshd.0071.01.004	gtms.0071.01.00010	graph	2	1
seri.gtms.0071.01.00010.01	gtms.0071.01.00010	kpis.0071.01.01093	kpi	1	1
seri.gtms.0071.01.00010.02	gtms.0071.01.00010	kpis.0071.01.01102	kpi	2	1
seri.gtms.0071.01.00010.03	gtms.0071.01.00010	kpis.0071.01.01094	kpi	3	1
seri.gtms.0071.01.00010.04	gtms.0071.01.00010	kpis.0071.01.01101	kpi	4	1
dshd.0071.01.004.gtm.03	dshd.0071.01.004	gtms.0071.01.00011	graph	3	1
seri.gtms.0071.01.00011.01	gtms.0071.01.00011	kpis.0071.01.01092	kpi	1	1
seri.gtms.0071.01.00011.02	gtms.0071.01.00011	kpis.0071.01.01100	kpi	2	1
seri.gtms.0071.01.00011.03	gtms.0071.01.00011	kpis.0071.01.01091	kpi	3	1
seri.gtms.0071.01.00011.04	gtms.0071.01.00011	kpis.0071.01.01099	kpi	4	1
dshd.0071.01.004.gtm.04	dshd.0071.01.004	gtms.0071.01.00017	graph	4	1
seri.gtms.0071.01.00017.01	gtms.0071.01.00017	kpis.0071.01.01118	kpi	1	1
seri.gtms.0071.01.00017.02	gtms.0071.01.00017	kpis.0071.01.01111	kpi	2	1
seri.gtms.0071.01.00017.03	gtms.0071.01.00017	kpis.0071.01.01112	kpi	3	1
seri.gtms.0071.01.00017.04	gtms.0071.01.00017	kpis.0071.01.01113	kpi	4	1
seri.gtms.0071.01.00017.05	gtms.0071.01.00017	kpis.0071.01.01114	kpi	5	1
seri.gtms.0071.01.00017.06	gtms.0071.01.00017	kpis.0071.01.01115	kpi	6	1
seri.gtms.0071.01.00017.07	gtms.0071.01.00017	kpis.0071.01.01116	kpi	7	1
seri.gtms.0071.01.00017.08	gtms.0071.01.00017	kpis.0071.01.01117	kpi	8	1
dshd.0071.01.004.gtm.05	dshd.0071.01.004	gtms.0071.01.00013	graph	5	1
seri.gtms.0071.01.00013.01	gtms.0071.01.00013	kpis.0071.01.01014	kpi	1	1
seri.gtms.0071.01.00013.02	gtms.0071.01.00013	kpis.0071.01.01021	kpi	2	1
seri.gtms.0071.01.00013.03	gtms.0071.01.00013	kpis.0071.01.01015	kpi	3	1
seri.gtms.0071.01.00013.04	gtms.0071.01.00013	kpis.0071.01.01022	kpi	4	1
dshd.0071.01.004.gtm.06	dshd.0071.01.004	gtms.0071.01.00014	graph	6	1
seri.gtms.0071.01.00014.01	gtms.0071.01.00014	kpis.0071.01.01026	kpi	1	1
seri.gtms.0071.01.00014.02	gtms.0071.01.00014	kpis.0071.01.01073	kpi	2	1
seri.gtms.0071.01.00014.04	gtms.0071.01.00014	kpis.0071.01.01076	kpi	3	1
seri.gtms.0071.01.00014.05	gtms.0071.01.00014	kpis.0071.01.01077	kpi	4	1
seri.gtms.0071.01.00014.06	gtms.0071.01.00014	kpis.0071.01.01199	kpi	5	1
seri.gtms.0071.01.00014.07	gtms.0071.01.00014	kpis.0071.01.01230	kpi	6	1
seri.gtms.0071.01.00014.08	gtms.0071.01.00014	kpis.0071.01.01231	kpi	7	1
seri.gtms.0071.01.00014.09	gtms.0071.01.00014	kpis.0071.01.01232	kpi	8	1
seri.gtms.0071.01.00014.10	gtms.0071.01.00014	kpis.0071.01.01227	kpi	9	1
seri.gtms.0071.01.00014.11	gtms.0071.01.00014	kpis.0071.01.01228	kpi	10	1
seri.gtms.0071.01.00014.12	gtms.0071.01.00014	kpis.0071.01.01229	kpi	11	1
dshd.0071.01.004.gtm.07	dshd.0071.01.004	gtms.0071.01.00015	graph	7	1
seri.gtms.0071.01.00015.01	gtms.0071.01.00015	kpis.0071.01.01012	kpi	1	1
seri.gtms.0071.01.00015.02	gtms.0071.01.00015	kpis.0071.01.01023	kpi	2	1
seri.gtms.0071.01.00015.03	gtms.0071.01.00015	kpis.0071.01.01013	kpi	3	1
seri.gtms.0071.01.00015.04	gtms.0071.01.00015	kpis.0071.01.01024	kpi	4	1
dshd.0071.01.005.gtm.01	dshd.0071.01.005	gtms.0071.01.00012	graph	1	1
seri.gtms.0071.01.00012.01	gtms.0071.01.00012	kpis.0071.01.01105	kpi	1	1
seri.gtms.0071.01.00012.02	gtms.0071.01.00012	kpis.0071.01.01107	kpi	2	1
seri.gtms.0071.01.00012.03	gtms.0071.01.00012	kpis.0071.01.01106	kpi	3	1
seri.gtms.0071.01.00012.04	gtms.0071.01.00012	kpis.0071.01.01108	kpi	4	1
dshd.0071.01.005.gtm.02	dshd.0071.01.005	gtms.0071.01.00016	graph	2	1
seri.gtms.0071.01.00016.01	gtms.0071.01.00016	kpis.0071.01.01011	kpi	1	1
seri.gtms.0071.01.00016.02	gtms.0071.01.00016	kpis.0071.01.01020	kpi	2	1
seri.gtms.0071.01.00016.03	gtms.0071.01.00016	kpis.0071.01.01010	kpi	3	1
seri.gtms.0071.01.00016.04	gtms.0071.01.00016	kpis.0071.01.01019	kpi	4	1
dshd.0071.01.006.gtm.01	dshd.0071.01.006	gtms.0071.01.00018	graph	1	1
seri.gtms.0071.01.00018.01	gtms.0071.01.00018	kpis.0071.01.01119	kpi	1	1
seri.gtms.0071.01.00018.02	gtms.0071.01.00018	kpis.0071.01.01125	kpi	2	1
seri.gtms.0071.01.00018.03	gtms.0071.01.00018	kpis.0071.01.01120	kpi	3	1
seri.gtms.0071.01.00018.04	gtms.0071.01.00018	kpis.0071.01.01126	kpi	4	1
dshd.0071.01.006.gtm.02	dshd.0071.01.006	gtms.0071.01.00019	graph	2	1
seri.gtms.0071.01.00019.01	gtms.0071.01.00019	kpis.0071.01.01123	kpi	1	1
seri.gtms.0071.01.00019.02	gtms.0071.01.00019	kpis.0071.01.01129	kpi	2	1
seri.gtms.0071.01.00019.03	gtms.0071.01.00019	kpis.0071.01.01124	kpi	3	1
seri.gtms.0071.01.00019.04	gtms.0071.01.00019	kpis.0071.01.01130	kpi	4	1
dshd.0071.01.007.gtm.01	dshd.0071.01.007	gtms.0071.01.00020	graph	1	1
seri.gtms.0071.01.00020.01	gtms.0071.01.00020	kpis.0071.01.01042	kpi	1	1
seri.gtms.0071.01.00020.02	gtms.0071.01.00020	kpis.0071.01.01043	kpi	2	1
seri.gtms.0071.01.00020.03	gtms.0071.01.00020	kpis.0071.01.01044	kpi	3	1
dshd.0071.01.007.gtm.02	dshd.0071.01.007	gtms.0071.01.00021	graph	2	1
seri.gtms.0071.01.00021.01	gtms.0071.01.00021	kpis.0071.01.01045	kpi	1	1
seri.gtms.0071.01.00021.02	gtms.0071.01.00021	kpis.0071.01.01046	kpi	2	1
seri.gtms.0071.01.00021.03	gtms.0071.01.00021	kpis.0071.01.01047	kpi	3	1
dshd.0071.01.007.gtm.03	dshd.0071.01.007	gtms.0071.01.00022	graph	3	1
seri.gtms.0071.01.00022.01	gtms.0071.01.00022	kpis.0071.01.01048	kpi	1	1
seri.gtms.0071.01.00022.02	gtms.0071.01.00022	kpis.0071.01.01049	kpi	2	1
seri.gtms.0071.01.00022.03	gtms.0071.01.00022	kpis.0071.01.01050	kpi	3	1
dshd.0071.01.008.gtm.01	dshd.0071.01.008	gtms.0071.01.00023	graph	1	1
seri.gtms.0071.01.00023.01	gtms.0071.01.00023	kpis.0071.01.01051	kpi	1	1
seri.gtms.0071.01.00023.02	gtms.0071.01.00023	kpis.0071.01.01052	kpi	2	1
dshd.0071.01.009.gtm.01	dshd.0071.01.009	gtms.0071.01.00024	graph	1	1
seri.gtms.0071.01.00024.01	gtms.0071.01.00024	kpis.0071.01.01142	kpi	1	1
dshd.0071.01.014.gtm.01	dshd.0071.01.014	gtms.0071.01.00031	graph	1	1
seri.gtms.0071.01.00031.01	gtms.0071.01.00031	kpis.0071.01.01150	kpi	1	1
