id_flat_file	flat_file_name	flat_file_naming_template	on_off	alarm_missing_file_temporization	period_type	exclusion	prefix_counter	reference	ordre	data_collection_frequency	data_chunks	granularity	custom_field_1	custom_field_2	custom_field_3
194	BSS - 536870915 A-interface Equipment Maintenance Statistic - AIEMS_BSC	pmresult_536870915_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		AIEMS_BSC		1	1	24	hour			
193	BSS - 536870914 A-interface Operation and Management Statistic - AIOMS_BSC	pmresult_536870914_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		AIOMS_BSC		1	1	24	hour			
195	BSS - 536870916 A-interface Trunk Board Message Statistic - AITBMS_BSC	pmresult_536870916_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		AITBMS_BSC		1	1	24	hour			
187	BSS - 536870912 BSC Measurement Function / Access Measurement Function - AMF_BSC	pmresult_536870912_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		AMF_BSC		1	1	24	hour			
189	BSS - 536870974 BSC Measurement Function / Access Measurement Function(2) - AMF2_BSC	pmresult_536870974_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		AMF2_BSC		1	1	24	hour			
23	BSSGPRS - 1275072917 BSSGP Measurement / BSSGP Capability Measurement - BM_BCM	pmresult_1275072917_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		BM_BCM		1	1	24	hour			
202	BSS - 1275072018 BSC Measurement/Access Measurement per BSC - BSC_AM_BSC	pmresult_1275072018_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		BSC_AM_BSC		1	1	24	hour			
205	BSS - 1275072023 BSC Measurement/Assignment Measurement per BSC - BSC_ASM_BSC	pmresult_1275072023_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		BSC_ASM_BSC		1	1	24	hour			
204	BSS - 1275072021 BSC Measurement/Call Measurement per BSC - BSC_CAM_BSC	pmresult_1275072021_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		BSC_CAM_BSC		1	1	24	hour			
206	BSS - 1275072025 BSC Measurement/Call Drop Measurement per BSC - BSC_CDM_BSC	pmresult_1275072025_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		BSC_CDM_BSC		1	1	24	hour			
201	BSS - 1275072017 BSC Measurement/Channel Measurement per BSC - BSC_CM_BSC	pmresult_1275072017_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		BSC_CM_BSC		1	1	24	hour			
208	BSS - 1275072048 BSC Measurement/Handover Attempt Measurement per BSC - BSC_HAM_BSC	pmresult_1275072048_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		BSC_HAM_BSC		1	1	24	hour			
207	BSS - 1275072047 BSC Measurement/Handover Failure Measurement per BSC - BSC_HFM_BSC	pmresult_1275072047_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		BSC_HFM_BSC		1	1	24	hour			
211	BSS - 1275072051 BSC Measurement/Handover KPI Measurement per BSC - BSC_HKPIM_BSC	pmresult_1275072051_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		BSC_HKPIM_BSC		1	1	24	hour			
209	BSS - 1275072049 BSC Measurement/Handover Success Measurement per BSC - BSC_HSM_BSC	pmresult_1275072049_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		BSC_HSM_BSC		1	1	24	hour			
210	BSS - 1275072050 BSC Measurement/Inter-Frequency-Band Measurement per BSC - BSC_IFBM_BSC	pmresult_1275072050_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		BSC_IFBM_BSC		1	1	24	hour			
213	BSS - 1275072057 BSC Measurement/Packet Access Capability Measurement per BSC - BSC_PACM_BSC	pmresult_1275072057_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		BSC_PACM_BSC		1	1	24	hour			
214	BSS - 1275072058 BSC Measurement/Packet Assignment Capability Measurement per BSC - BSC_PASCM_BSC	pmresult_1275072058_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		BSC_PASCM_BSC		1	1	24	hour			
215	BSS - 1275072060 BSC Measurement/Packet Transfer Capability Measurement per BSC - BSC_PTCM_BSC	pmresult_1275072060_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		BSC_PTCM_BSC		1	1	24	hour			
212	BSS - 1275072054 BSC Measurement/Ratio of Receive Quality Measurement per BSC - BSC_RRQM_BSC	pmresult_1275072054_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		BSC_RRQM_BSC		1	1	24	hour			
203	BSS - 1275072019 BSC Measurement/TRX Measurement per BSC - BSC_TRX_BSC	pmresult_1275072019_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		BSC_TRX_BSC		1	1	24	hour			
50	BSS - 1275069419 BTSM Management / Cell State Measurement per Cell(BTSM.State.Cell) - bsc6000_bts_state_confcell	pmresult_1275069419_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		bsc6000_bts_state_confcell		1	1	24	hour			
52	BSS - 1275069422 BTSM Management(BTSM) / TRX Configuration Measurement per BM Subrack - bsc6000_bts_trx_conf	pmresult_1275069422_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		bsc6000_bts_trx_conf		1	1	24	hour			
54	BSS - 1275071424 Call Measurement / Assignment Requests per Cell - bsc6000_call_assign_meas	pmresult_1275071424_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		bsc6000_call_assign_meas		1	1	24	hour			
56	BSS - 1275071421 Call Measurement / Channel Activation Measurement per Cell - bsc6000_call_chan_active_meas	pmresult_1275071421_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		bsc6000_call_chan_active_meas		1	1	24	hour			
57	BSSTRX - 1275071422 Call Measurement / Channel Seizure Measurement per TRX - bsc6000_call_chan_seizure	pmresult_1275071422_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		bsc6000_call_chan_seizure		1	1	24	hour			
13	BSS - 1275071420 Call Measurement / CALL DROP MEASUREMENT PER CELL - bsc6000_call_drop1_meas	pmresult_1275071420_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		bsc6000_call_drop1_meas		1	1	24	hour			
68	BSS - 1275071418 Call Measurement / Flow Control Measurement per Cell - bsc6000_call_flow_control	pmresult_1275071418_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		bsc6000_call_flow_control		1	1	24	hour			
14	BSS - 1275071425 Call Measurement / Intra-Cell Handover Measurement per Cell - bsc6000_call_ho_meas	pmresult_1275071425_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		bsc6000_call_ho_meas		1	1	24	hour			
15	BSS - 1275071423 Call Measurement / Immediate Assignment Measurement per Cell - bsc6000_call_imm_assig_meas	pmresult_1275071423_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		bsc6000_call_imm_assig_meas		1	1	24	hour			
34	BSS - 1275071428 Call Measurement / Incoming External Inter-Cell Handover Requests per Cell - bsc6000_call_incom_ext_int	pmresult_1275071428_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		EXT		1	1	24	hour			
16	BSS - 1275071426 Call Measurement / Incoming Internal Inter-Cell Handover Analyzed Measurement per Cell - bsc6000_call_incom_inter_ho	pmresult_1275071426_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		INT		1	1	24	hour			
17	BSS - 1275071435 Call Measurement / KPI Measurement per Cell - bsc6000_call_kpi_meas	pmresult_1275071435_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		bsc6000_call_kpi_meas		1	1	24	hour			
72	BSS - 1275071434 Call Measurement / Measurement of MRs upon Handover Initiation - bsc6000_call_mrs_ho	pmresult_1275071434_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		bsc6000_call_mrs_ho		1	1	24	hour			
18	BSS - 1275071429 Call Measurement / Outgoing External Inter-Cell Handover Requests per Cell - bsc6000_call_out_ex_ho	pmresult_1275071429_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		bsc6000_call_out_ex_ho		1	1	24	hour			
19	BSS - 1275071427 Call Measurement / Outgoing Internal Inter-Cell Handover Measurement per Cell - bsc6000_call_out_in_ho	pmresult_1275071427_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		bsc6000_call_out_in_ho		1	1	24	hour			
26	BSS - 1275071419 Call Measurement / Short Message Measurement per Cell - bsc6000_call_trx_sms_meas	pmresult_1275071419_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		bsc6000_call_trx_sms_meas		1	1	24	hour			
77	BSS - 1275071822 Channel Measurement / Channel Assignment Request Measurement per Cell - bsc6000_chan_assign_request	pmresult_1275071822_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		bsc6000_chan_assign_request		1	1	24	hour			
175	BSS & BSSTRX - 1275071823 Channel Measurement / Channel Assignment Success Measurement per TRX - bsc6000_chan_assign_succ	pmresult_1275071823_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		bsc6000_chan_assign_succ		1	1	24	hour			
20	BSS - 1275071819 Channel Measurement / Channel Conversion Measurement per Cell / Channel Busy Duration Measurement per Cell - bsc6000_chan_busy_conv_max	pmresult_1275071819_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		bsc6000_chan_busy_conv_max		1	1	24	hour			
78	BSS - 1275071817 Channel Measurement / Analyzed Measurement of Dynamically Configured Channels - bsc6000_chan_conf_meas	pmresult_1275071817_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		bsc6000_chan_conf_meas		1	1	24	hour			
79	BSS - 1275071826 Channel Measurement / Channel Assignment Queue Measurement - bsc6000_chan_gprs_queue	pmresult_1275071826_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		bsc6000_chan_gprs_queue		1	1	24	hour			
22	BSS - 1275071821 Channel Measurement / Mean Number of Busy Signaling Channels - bsc6000_chan_state_meas	pmresult_1275071821_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		bsc6000_chan_state_meas		1	1	24	hour			
168	BSS & BSSTRX - 1275071618 MR Measurement / Interference Band Measurement per TRX - bsc6000_mr_cv_interference	pmresult_1275071618_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		bsc6000_mr_cv_interference		1	1	24	hour			
85	BSS - 1275071617 MR Measurement / Number of MRs per Cell - bsc6000_mr_number_cell	pmresult_1275071617_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		bsc6000_mr_number_cell		1	1	24	hour			
87	BSSTRX - 1275071626 MR Measurement / Radio Link Failure Measurement per TRX - bsc6000_mr_radio_link	pmresult_1275071626_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		bsc6000_mr_radio_link		1	1	24	hour			
89	BSSTRX - 1275071623 MR Measurement / Receive Quality Measurement per TRX - bsc6000_mr_rx_qual	pmresult_1275071623_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		bsc6000_mr_rx_qual		1	1	24	hour			
