id_ligne	id_group_table	time_agregation	time_agregation_label	id_source	data_type	on_off	comment	deploy_status
1	1	hour	hour	-1	raw	1		0
3	1	day	day	1	raw	1		0
5	1	week	week	3	raw	1		0
7	1	month	month	3	raw	1		0
9	1	day_bh	day_bh	1	raw	1		0
11	1	week_bh	week_bh	9	raw	1		0
13	1	month_bh	month_bh	9	raw	1		0
2	1	hour	hour	-1	kpi	1		0
4	1	day	day	2	kpi	1		0
6	1	week	week	4	kpi	1		0
8	1	month	month	4	kpi	1		0
10	1	day_bh	day_bh	2	kpi	1		0
12	1	week_bh	week_bh	10	kpi	1		0
14	1	month_bh	month_bh	10	kpi	1		0
15	2	hour	hour	-1	raw	1		0
17	2	day	day	15	raw	1		0
19	2	week	week	17	raw	1		0
21	2	month	month	17	raw	1		0
23	2	day_bh	day_bh	15	raw	1		0
25	2	week_bh	week_bh	23	raw	1		0
27	2	month_bh	month_bh	23	raw	1		0
16	2	hour	hour	-1	kpi	1		0
18	2	day	day	16	kpi	1		0
20	2	week	week	18	kpi	1		0
22	2	month	month	18	kpi	1		0
24	2	day_bh	day_bh	16	kpi	1		0
26	2	week_bh	week_bh	24	kpi	1		0
28	2	month_bh	month_bh	24	kpi	1		0
29	3	hour	hour	-1	raw	1		0
31	3	day	day	29	raw	1		0
33	3	week	week	31	raw	1		0
35	3	month	month	31	raw	1		0
37	3	day_bh	day_bh	29	raw	1		0
39	3	week_bh	week_bh	37	raw	1		0
41	3	month_bh	month_bh	37	raw	1		0
30	3	hour	hour	-1	kpi	1		0
32	3	day	day	30	kpi	1		0
34	3	week	week	32	kpi	1		0
36	3	month	month	32	kpi	1		0
38	3	day_bh	day_bh	30	kpi	1		0
40	3	week_bh	week_bh	38	kpi	1		0
42	3	month_bh	month_bh	38	kpi	1		0
