id_ligne	kpi_name	edw_group_table	kpi_label	comment	kpi_formula	pourcentage	on_off	value_type	new_field	visible	numerator_denominator	kpi_type
kpis.0095.01.00000	RI_CAPTURE_DURATION	edw_huabss_bss_axe1	RI CAPTURE DURATION	RI CAPTURE DURATION	CASE WHEN (capture_duration/capture_duration_expected)*100>100 THEN 100 ELSE (capture_duration/capture_duration_expected)*100 END	1	1	customisateur	1	0	total	float4
kpis.0095.01.00001	Nb_Immediate_Assignment_Attempts	edw_huabss_bss_axe1	SDCCH Assignment Requests Number (Nb)	Number of SDCCH seizure requests during radio link establishment procedure 	K3000	0	1	customisateur	1	1	total	float4
kpis.0095.01.00002	C_Nb_Immediate_Assignment_Attempts1	edw_huabss_bss_axe1	Corporate SDCCH Assignment Requests Number (Nb)	Number of SDCCH seizure requests during radio link establishment procedure 	K3000	0	1	customisateur	1	1	total	float4
kpis.0095.01.00006	Nb_Successful_Immediate_Assignments	edw_huabss_bss_axe1	SDCCH Assignment Success Number (Nb)	Total number of SDCCH successfully seized by mobile during radio link establishment procedure 	K3003	0	1	customisateur	1	1	total	float4
kpis.0095.01.00007	C_Nb_Successful_Immediate_Assignments	edw_huabss_bss_axe1	Corporate SDCCH Assignment Success Number (Nb)	Total number of SDCCH successfully seized by mobile during radio link establishment procedure 	K3003	0	1	customisateur	1	1	total	float4
kpis.0095.01.00010	Immediate_Assignment_Success_Rate	edw_huabss_bss_axe1	SDCCH Assignment Success Rate (%)	SDCCH ASSIGN SUCCESS/SDCCH ASSIGN REQUESTS 	CASE WHEN K3003/K3000*100>100 THEN 100 ELSE K3003/K3000*100 END	1	1	customisateur	1	1	total	float4
kpis.0095.01.00004	Nb_Immediate_Assignment_Losses	edw_huabss_bss_axe1	SDCCH Assignment Failures Number (Nb)	SDCCH ASSIGN REQUESTS - SDCCH ASSIGN SUCCESS 	K3000-K3003	0	1	customisateur	1	1	total	float4
kpis.0095.01.00008	Immediate_Assignment_Loss_Rate	edw_huabss_bss_axe1	SDCCH Assignment Failures Rate (%)	(SDCCH ASSIGN REQUESTS - SDCCH ASSIGN SUCCESS)/SDCCH ASSIGN REQUESTS 	CASE WHEN (K3000-K3003)/K3000*100>100 THEN 100 ELSE (K3000-K3003)/K3000*100 END	1	1	customisateur	1	1	total	float4
kpis.0095.01.00011	SDCCH_TIME_CONGESTION_RATE	edw_huabss_bss_axe1	SDCCH Time Congestion Rate (%)	SDCCH TIME CONGESTION RATE 	CASE WHEN 100*R3540/CAPTURE_DURATION_REAL>100 THEN 100 ELSE 100*R3540/CAPTURE_DURATION_REAL END	1	1	customisateur	1	1	total	float4
kpis.0095.01.02003	RANDOM_ACCESS_ATTEMPTS	edw_huabss_bss_axe1	Random Access Attempts Number (Nb)	Number of random access attempts 	NULL	0	1	customisateur	1	1	total	float4
kpis.0095.01.random_access_success_nb	RANDOM_ACCESS_SUCCESS_NB	edw_huabss_bss_axe1	Random Access Success Number (NB)	Random Access Success Number 	NULL	0	1	customisateur	1	1	total	float4
kpis.0095.01.02002	RANDOM_ACCESS_SUCCESS_RATE	edw_huabss_bss_axe1	Random Access Success Rate (%)	Random Access Success Rate 	CASE WHEN RA301G*100>100 THEN 100 ELSE RA301G*100 END	1	1	customisateur	1	1	total	float4
kpis.0095.01.03001	Nb_Assignment_Attempts	edw_huabss_bss_axe1	TCH Attempts Number (Nb)	Number of normal assignment requests for TCH establishment (in HR or FR usage). 	K3020+K3010A+K3010B	0	1	customisateur	1	1	total	float4
kpis.0095.01.03002	Nb_Successful_Assignments	edw_huabss_bss_axe1	TCH Assignment Success  Number (Nb)	 Number of TCH successfully seized by MS for normal assignment procedure including incoming handover. 	K3023+K3013A+K3013B	0	1	customisateur	1	1	total	float4
kpis.0095.01.03003	Assignment_Success_Rate	edw_huabss_bss_axe1	TCH Assignment Success Rate (%)	TCH ASSIGN SUCCESS/TCH ASSIGN REQUESTS 	CASE WHEN (K3023+K3013A+K3013B)/(K3020+K3010A+K3010B)*100>100 THEN 100 ELSE (K3023+K3013A+K3013B)/(K3020+K3010A+K3010B)*100 END	1	1	customisateur	1	1	total	float4
kpis.0095.01.03004	C_Nb_Assignment_Attempts1	edw_huabss_bss_axe1	Corporate TCH Attempts Number (Nb)	Number of normal assignment requests for TCH establishment (in HR or FR usage). 	K3020+K3010A+K3010B	0	1	customisateur	1	1	total	float4
kpis.0095.01.03005	C_Nb_Successful_Assignments	edw_huabss_bss_axe1	Corporate TCH Assignment Success  Number (Nb)	Number of TCH successfully seized by MS for normal assignment procedure including incoming handover. 	K3023+K3013A+K3013B	0	1	customisateur	1	1	total	float4
kpis.0095.01.03007	Nb_Assignment_Failures	edw_huabss_bss_axe1	TCH Assignment Unsuccess  Number (Nb)	TCH ASSIGN REQUESTS - TCH ASSIGN SUCCESS 	K3020+K3010A+K3010B-(K3023+K3013A+K3013B)	0	1	customisateur	1	1	total	float4
kpis.0095.01.03008	Assignment_Failure_Rate	edw_huabss_bss_axe1	TCH Assignment Unsuccess  Rate (%)	(TCH ASSIGN REQUESTS - TCH ASSIGN SUCCESS)/TCH ASSIGN REQUESTS 	CASE WHEN (K3020+K3010A+K3010B-(K3023+K3013A+K3013B))/(K3020+K3010A+K3010B)*100>100 THEN 100 ELSE (K3020+K3010A+K3010B-(K3023+K3013A+K3013B))/(K3020+K3010A+K3010B)*100 END	1	1	customisateur	1	1	total	float4
kpis.0095.01.04002	Call_Setup_Success_Rate	edw_huabss_bss_axe1	Call Setup Success Rate (%)	Rate of calls going until TCH successful assignment, that is not interrupted by SDCCH DROP neither by Assignment failures 	CASE WHEN K3003/K3000*(1-CM30/K3003)*(K3023+K3013A+K3013B)/(K3020+K3010A+K3010B)*100>100 THEN 100 ELSE K3003/K3000*(1-CM30/K3003)*(K3023+K3013A+K3013B)/(K3020+K3010A+K3010B)*100 END	1	1	customisateur	1	1	total	float4
kpis.0095.01.04003	C_CSSR_NUMERATOR	edw_huabss_bss_axe1	Corporate Call Setup Success Rate Numerator (Nb)	The numerator of the CSSR rate fraction 	K3003*(K3003-CM30)*(K3023+K3013A+K3013B)	0	1	customisateur	1	1	total	float4
kpis.0095.01.04004	C_CSSR_DENOMINATOR	edw_huabss_bss_axe1	Corporate Call Setup Success Rate Denominator (Nb)	The denominator of the CSSR rate fraction 	K3000*K3003*(K3020+K3010A+K3010B)	0	1	customisateur	1	1	total	float4
