id_ligne	nms_table	nms_field_name	edw_group_table	edw_target_field_name	edw_field_name	edw_field_type	edw_agregation_function	edw_agregation_formula	new_date	new_field	on_off	id_group_table	aggregated_flag	comment	visible	default_value	flat_file_position	edw_field_name_label
raws.0095.bss.00004	cellmeas1_sdcch	Attempted SDCCH seizures (all)||2048||536872960	edw_huabss_bss_axe1	cm1s_attem_sdcch_seiz_all	cm1s_attem_SDCCH_seiz_all	float4	SUM	SUM(cm1s_attem_sdcch_seiz_all)	20110627	1	0	1	1	In the immediate assignment procedure, MS directly requests BSS to allocate channels. In the incoming BSC handover procedures, MSC requests BSS to allocate channels to MS. In the intra-BSC handover procedure, BSC itself requests BSS to reallocate radio channels. In the above procedures, if the requested channel type is SDCCH, this item shall be measured after BSC receives a relevant request. Note: SDCCH handover: Handover happens on SDCCH. Channel reallocation: In the immediate assignment procedure, Huawei BSC supports channel reallocation. BSC initiates radio channel allocation when it receives CHANNEL REQUIRED message from BTS. BSC allocates a TCH if the access cause value of CHANNEL REQUIRED is emergency call or call re-establishment and BSC supports very early assignment TCH. Otherwise, BSC allocates a SDCCH. BSC reallocates radio channel automatically based on GSM 0408 if BSC supports very early assignment of TCH and channel allocation fails due to no radio resource available. In other words BSC allocates a TCH automatically if SDCCH allocation fails and the access cause is not location update, and similarly, BSC allocates a SDCCH automatically if TCH allocation fails. So, to one CHANNEL REQUEST message, BSC measures both SDCCH and TCH seizure times. Very early assignment TCH: If BSC allocates a TCH as a signaling channel in immediate assignment procedure, instead of the traffic channel allocation procedure, the Mode Modify procedure can be implemented in the assignment procedure. Assignment SDCCH: In the assignment procedure, MSC sends ASSIGNMENT REQUEST message to BSC to request for a radio channel. BSC responses ASSIGNMENT COMPLETE message to MSC directly if the channel type in the ASSIGNMENT REQUEST is SDCCH. In this case, BSC implements signaling or short message transmission on the channel already allocated. BSC does not measure either attempted SDCCH seizures or successful SDCCH seizures for it does not allocate a new channel. Instead, it measures the times of assignment requests and assignment success after successfully sending ASSIGNMENT COMPLETE message. Discard CHANNLE REQUIRED in internal flow: In the immediate assignment procedure, BSC receives CHANNEL REQUIRED messages from BTS. BSC discards these messages if the system is too busy to respond. In this case, attempted TCH or SDCCH seizures will be measured but successful or unsuccessful channel seizures will not be measured. (BSC32)	1	0		Attempted SDCCH seizures all
raws.0095.bss.00005	cellmeas1_sdcch	Successful SDCCH seizures (all)||2049||536872961	edw_huabss_bss_axe1	cm1s_succ_sdcch_seiz_all	cm1s_Succ_SDCCH_seiz_all	float4	SUM	SUM(cm1s_succ_sdcch_seiz_all)	20110627	1	0	1	1	In the immediate assignment and handover procedures, MS notifies BSS after it successfully seizes the SDCCH allocated by the network. This item is measured when BSC receives the notification. (BSC32)	1	0		Successful SDCCH seizures all
raws.0095.bss.00006	cellmeas1_sdcch	Successful SDCCH seizures for handover||2050||536872962	edw_huabss_bss_axe1	cm1s_succ_sdcch_seiz_for_ho	cm1s_Succ_SDCCH_seiz_for_ho	float4	SUM	SUM(cm1s_succ_sdcch_seiz_for_ho)	20110627	1	0	1	1	In the SDCCH handover procedure, MS sends a HANDOVER COMPLETE message to the target cell. This item is measured when BSC receives the HANDOVER COMPLETE message.  (BSC32)	1	0		Successful SDCCH seizures for handover
raws.0095.bss.00007	cellmeas1_sdcch	Successful SDCCH seizures for MOC||2053||536872965	edw_huabss_bss_axe1	cm1s_succ_sdcch_seiz_for_moc	cm1s_Succ_SDCCH_seiz_for_MOC	float4	SUM	SUM(cm1s_succ_sdcch_seiz_for_moc)	20110627	1	0	1	1	This statistic item specially measures the number of times SDCCH is successfully seized for MOC (Mobile Originated Call). (BSC32)	1	0		Successful SDCCH seizures for MOC
raws.0095.bss.00008	cellmeas1_sdcch	Successful SDCCH seizures for MTC||2054||536872966	edw_huabss_bss_axe1	cm1s_succ_sdcch_seiz_for_mtc	cm1s_Succ_SDCCH_seiz_for_MTC	float4	SUM	SUM(cm1s_succ_sdcch_seiz_for_mtc)	20110627	1	0	1	1	This statistic item specially measures the number of times SDCCH is successfully seized for MTC (Mobile Terminated Call). (BSC32)	1	0		Successful SDCCH seizures for MTC
raws.0095.bss.00009	cellmeas1_sdcch	Attempted SDCCH seizures meeting SDCCH overflow||2062||536872974	edw_huabss_bss_axe1	cm1s_attem_sdcch_seiz_meeting_sdcch_overflow	cm1s_attem_SDCCH_seiz_meeting_SDCCH_overflow	float4	SUM	SUM(cm1s_attem_sdcch_seiz_meeting_sdcch_overflow)	20110627	1	0	1	1	in immediate assignment and handover procedure, this item is measured in the case that the MS or MSC requests BSC to allocate SDCCH but BSS has no available SDCCH. (BSC32)	1	0		Attempted SDCCH seizures meeting SDCCH overflow
raws.0095.bss.00010	cellmeas1_sdcch	SDCCH call drop||2070||536872982	edw_huabss_bss_axe1	cm1s_sdcch_call_drop	cm1s_SDCCH_call_drop	float4	SUM	SUM(cm1s_sdcch_call_drop)	20110627	1	0	1	1	the description of this item is the same as that of SDCCH call drop in BSC Measurement Function except the measurement object is the specified cell. (BSC32)	1	0		SDCCH call drop
raws.0095.bss.00011	cellmeas1_sdcch	Average SDCCH busy time (second)||2076||536872988	edw_huabss_bss_axe1	cm1s_average_sdcch_busy_time	cm1s_Average_SDCCH_busy_time	float4	log	CASE WHEN $aggreg_net_ri=0 THEN SUM(cm1s_average_sdcch_busy_time) ELSE AVG(cm1s_average_sdcch_busy_time) END	20110627	1	0	1	1	This item indicates the average duration of the SDCCHs configured for a cell being busy. It shows the situation of random access frequency in the objective cell from the angle of channel seizure duration. (BSC32)	1			Average SDCCH busy time second
raws.0095.bss.00012	cellmeas1_sdcch	SDCCH traffic volume (excluding very early assignment) (ERL)||20202||536891114	edw_huabss_bss_axe1	cm1s_sdcch_traff_vol_exc_ve_assign	cm1s_SDCCH_traff_vol_exc_ve_assign	float4	log	CASE WHEN $aggreg_net_ri=0 THEN AVG(cm1s_sdcch_traff_vol_exc_ve_assign) ELSE SUM(cm1s_sdcch_traff_vol_exc_ve_assign) END	20110627	1	0	1	1	This item indicates the traffic volume on SDCCH, i.e. the ratio of duration of MS seizing SDCCH to measurement cycle. The duration of MS seizing SDCCH is calculated by multiplying the number of MR reported by MS via SDCCH with the report period (0.47 seconds). See Sum of SDCCH measurement reports in the cell of Other Measurement Function . (BSC32)	1			SDCCH traffic volume excluding very early assignment ERL
raws.0095.bss.00013	cellmeas1_sdcch	SDCCH traffic volume (excluding very early assignment) (ERL)||20202||536891114	edw_huabss_bss_axe1	cm1s_sdcch_traff_sum_vol_exc_ve_assign	cm1s_SDCCH_traff_SUM_vol_exc_ve_assign	float4	SUM	SUM(cm1s_sdcch_traff_sum_vol_exc_ve_assign)	20110627	1	0	1	1	This item indicates the traffic volume on SDCCH, i.e. the ratio of duration of MS seizing SDCCH to measurement cycle. The duration of MS seizing SDCCH is calculated by multiplying the number of MR reported by MS via SDCCH with the report period (0.47 seconds). See Sum of SDCCH measurement reports in the cell of Other Measurement Function  (BSC32)	1	0		SDCCH traffic volume excluding very early assignment ERL (Sum)
