RNCs;Cells Label;Cells
BHERNC4;UOH01I;BHERNC4_UOH01I
BHERNC4;UDN01C;BHERNC4_UDN01C
BHERNC4;UDN01A;BHERNC4_UDN01A
BHERNC4;UDJ02G;BHERNC4_UDJ02G
BHERNC4;UDJ02B;BHERNC4_UDJ02B
BHERNC4;UDJ02C;BHERNC4_UDJ02C
BHERNC4;UDJ02H;BHERNC4_UDJ02H
BHERNC4;UDJ02I;BHERNC4_UDJ02I
BHERNC4;UDJ02J;BHERNC4_UDJ02J
BHERNC4;UDJ02K;BHERNC4_UDJ02K
BHERNC4;UDJ02L;BHERNC4_UDJ02L
BHERNC4;UDJ02A;BHERNC4_UDJ02A
BHERNC4;UDJ01B;BHERNC4_UDJ01B
BHERNC4;UDJ01C;BHERNC4_UDJ01C
BHERNC4;UDJ01G;BHERNC4_UDJ01G
BHERNC4;UDJ01H;BHERNC4_UDJ01H
BHERNC4;UDJ01I;BHERNC4_UDJ01I
BHERNC4;UDJ01J;BHERNC4_UDJ01J
BHERNC4;UDJ01K;BHERNC4_UDJ01K
BHERNC4;UDJ01L;BHERNC4_UDJ01L
BHERNC4;UDJ01A;BHERNC4_UDJ01A
BHERNC4;UBH031M;BHERNC4_UBH031M
BHERNC4;UBH031J;BHERNC4_UBH031J
BHERNC4;UBH031G;BHERNC4_UBH031G
BHERNC4;UBH031A;BHERNC4_UBH031A
BHERNC4;UBH011M;BHERNC4_UBH011M
BHERNC4;UBH011J;BHERNC4_UBH011J
BHERNC4;UBH011G;BHERNC4_UBH011G
BHERNC4;UBH011A;BHERNC4_UBH011A
BHERNC4;UAB011M;BHERNC4_UAB011M
BHERNC4;UAB011J;BHERNC4_UAB011J
BHERNC4;UAB011G;BHERNC4_UAB011G
BHERNC4;UAB011A;BHERNC4_UAB011A
BHERNC4;UBH19P;BHERNC4_UBH19P
BHERNC4;UBH19N;BHERNC4_UBH19N
BHERNC4;UBH19M;BHERNC4_UBH19M
BHERNC4;UBH19L;BHERNC4_UBH19L
BHERNC4;UBH19K;BHERNC4_UBH19K
BHERNC4;UBH19J;BHERNC4_UBH19J
BHERNC4;UBH19I;BHERNC4_UBH19I
BHERNC4;UBH19H;BHERNC4_UBH19H
BHERNC4;UBH19G;BHERNC4_UBH19G
BHERNC4;UBH19C;BHERNC4_UBH19C
BHERNC4;UBH19B;BHERNC4_UBH19B
BHERNC4;UBH19A;BHERNC4_UBH19A
BHERNC4;UBH12L;BHERNC4_UBH12L
BHERNC4;UBH12K;BHERNC4_UBH12K
BHERNC4;UBH12J;BHERNC4_UBH12J
BHERNC4;UBH12I;BHERNC4_UBH12I
BHERNC4;UBH12H;BHERNC4_UBH12H
BHERNC4;UBH12G;BHERNC4_UBH12G
BHERNC4;UBH11P;BHERNC4_UBH11P
BHERNC4;UBH11N;BHERNC4_UBH11N
BHERNC4;UBH11M;BHERNC4_UBH11M
BHERNC4;UBH11C;BHERNC4_UBH11C
BHERNC4;UBH11B;BHERNC4_UBH11B
BHERNC4;UBH11A;BHERNC4_UBH11A
BHERNC4;BH11L2;BHERNC4_BH11L2
BHERNC4;BH11L1;BHERNC4_BH11L1
BHERNC4;BH11K2;BHERNC4_BH11K2
BHERNC4;BH11K1;BHERNC4_BH11K1
BHERNC4;BH11J2;BHERNC4_BH11J2
BHERNC4;BH11J1;BHERNC4_BH11J1
BHERNC4;BH11I2;BHERNC4_BH11I2
BHERNC4;BH11I1;BHERNC4_BH11I1
BHERNC4;BH11H2;BHERNC4_BH11H2
BHERNC4;BH11H1;BHERNC4_BH11H1
BHERNC4;BH11G2;BHERNC4_BH11G2
BHERNC4;BH11G1;BHERNC4_BH11G1
BHERNC4;UBH10P;BHERNC4_UBH10P
BHERNC4;UBH10N;BHERNC4_UBH10N
