RNCs;Cells Label;Cells
BHRNC03;UAGBOG9;BHRNC03_UAGBOG9
BHRNC03;UAGBOG8;BHRNC03_UAGBOG8
BHRNC03;UAGBOG7;BHRNC03_UAGBOG7
BHRNC03;UEFFEO9;BHRNC03_UEFFEO9
BHRNC03;UEFFEO8;BHRNC03_UEFFEO8
BHRNC03;UEFFEO7;BHRNC03_UEFFEO7
BHRNC03;UAGOU29;BHRNC03_UAGOU29
BHRNC03;UAGOU28;BHRNC03_UAGOU28
BHRNC03;UAGOU27;BHRNC03_UAGOU27
BHRNC03;UIWOY8;BHRNC03_UIWOY8
BHRNC03;UIWOY9;BHRNC03_UIWOY9
BHRNC03;UALLA67;BHRNC03_UALLA67
BHRNC03;UALLA68;BHRNC03_UALLA68
BHRNC03;UALLA69;BHRNC03_UALLA69
BHRNC03;UDRE9;BHRNC03_UDRE9
BHRNC03;UDRE8;BHRNC03_UDRE8
BHRNC03;UDRE7;BHRNC03_UDRE7
BHRNC03;UALLA47;BHRNC03_UALLA47
BHRNC03;UALLA48;BHRNC03_UALLA48
BHRNC03;UALLA49;BHRNC03_UALLA49
BHRNC03;UKATAG7;BHRNC03_UKATAG7
BHRNC03;UKATAG8;BHRNC03_UKATAG8
BHRNC03;UKATAG9;BHRNC03_UKATAG9
BHRNC03;UKETO4C;BHRNC03_UKETO4C
BHRNC03;UKETO4B;BHRNC03_UKETO4B
BHRNC03;UKETO4A;BHRNC03_UKETO4A
BHRNC03;UKETO49;BHRNC03_UKETO49
BHRNC03;UKETO48;BHRNC03_UKETO48
BHRNC03;UKETO47;BHRNC03_UKETO47
BHRNC03;UKETO46;BHRNC03_UKETO46
BHRNC03;UKETO45;BHRNC03_UKETO45
BHRNC03;UKETO44;BHRNC03_UKETO44
BHRNC03;UKETO43;BHRNC03_UKETO43
BHRNC03;UKETO42;BHRNC03_UKETO42
BHRNC03;UKETO41;BHRNC03_UKETO41
BHRNC03;UAHOUC;BHRNC03_UAHOUC
BHRNC03;UAHOUB;BHRNC03_UAHOUB
BHRNC03;UAHOUA;BHRNC03_UAHOUA
BHRNC03;UKOKOU7;BHRNC03_UKOKOU7
BHRNC03;UKOKOU8;BHRNC03_UKOKOU8
BHRNC03;UKOKOU9;BHRNC03_UKOKOU9
BHRNC03;UCOME5;BHRNC03_UCOME5
BHRNC03;UHEKAN7;BHRNC03_UHEKAN7
BHRNC03;UHEKAN8;BHRNC03_UHEKAN8
BHRNC03;UHEKAN9;BHRNC03_UHEKAN9
BHRNC03;UDEDOM7;BHRNC03_UDEDOM7
BHRNC03;UDEDOM8;BHRNC03_UDEDOM8
BHRNC03;UDEDOM9;BHRNC03_UDEDOM9
BHRNC03;UKOUTY7;BHRNC03_UKOUTY7
BHRNC03;UKOUTY8;BHRNC03_UKOUTY8
BHRNC03;UKOUTY9;BHRNC03_UKOUTY9
BHRNC03;UOUINH7;BHRNC03_UOUINH7
BHRNC03;UOUINH8;BHRNC03_UOUINH8
BHRNC03;UOUINH9;BHRNC03_UOUINH9
BHRNC03;UDJANE7;BHRNC03_UDJANE7
BHRNC03;UDJANE8;BHRNC03_UDJANE8
BHRNC03;UDJANE9;BHRNC03_UDJANE9
BHRNC03;UDANGB2;BHRNC03_UDANGB2
BHRNC03;UDANGB3;BHRNC03_UDANGB3
BHRNC03;UDANGB4;BHRNC03_UDANGB4
BHRNC03;UDANGB5;BHRNC03_UDANGB5
BHRNC03;UDANGB6;BHRNC03_UDANGB6
BHRNC03;UDANGBA;BHRNC03_UDANGBA
BHRNC03;UDANGBB;BHRNC03_UDANGBB
BHRNC03;UDANGBC;BHRNC03_UDANGBC
BHRNC03;UTOWE9;BHRNC03_UTOWE9
BHRNC03;UTOWE8;BHRNC03_UTOWE8
BHRNC03;UTOWE7;BHRNC03_UTOWE7
BHRNC03;UKETO21;BHRNC03_UKETO21
BHRNC03;UAFFAM7;BHRNC03_UAFFAM7
BHRNC03;UAFFAM8;BHRNC03_UAFFAM8
BHRNC03;UAFFAM9;BHRNC03_UAFFAM9
BHRNC03;UTORC7;BHRNC03_UTORC7
BHRNC03;UTORC8;BHRNC03_UTORC8
BHRNC03;UTORC9;BHRNC03_UTORC9
BHRNC03;UTAKON7;BHRNC03_UTAKON7
BHRNC03;UTAKON8;BHRNC03_UTAKON8
BHRNC03;UTAKON9;BHRNC03_UTAKON9
BHRNC03;UHOUY27;BHRNC03_UHOUY27
BHRNC03;UHOUY28;BHRNC03_UHOUY28
BHRNC03;UHOUY29;BHRNC03_UHOUY29
BHRNC03;UDODBA7;BHRNC03_UDODBA7
BHRNC03;UDODBA8;BHRNC03_UDODBA8
BHRNC03;UDODBA9;BHRNC03_UDODBA9
BHRNC03;UOUID67;BHRNC03_UOUID67
BHRNC03;UOUID68;BHRNC03_UOUID68
BHRNC03;UOUID69;BHRNC03_UOUID69
BHRNC03;UOUID47;BHRNC03_UOUID47
BHRNC03;UOUID48;BHRNC03_UOUID48
BHRNC03;UOUID49;BHRNC03_UOUID49
BHRNC03;UOUID57;BHRNC03_UOUID57
BHRNC03;UOUID58;BHRNC03_UOUID58
BHRNC03;UOUID59;BHRNC03_UOUID59
BHRNC03;UIKPIN9;BHRNC03_UIKPIN9
BHRNC03;UIKPIN8;BHRNC03_UIKPIN8
BHRNC03;UIKPIN7;BHRNC03_UIKPIN7
BHRNC03;UIDJOU7;BHRNC03_UIDJOU7
BHRNC03;UIDJOU8;BHRNC03_UIDJOU8
BHRNC03;UIDJOU9;BHRNC03_UIDJOU9
BHRNC03;UCOME67;BHRNC03_UCOME67
BHRNC03;UCOME68;BHRNC03_UCOME68
BHRNC03;UCOME69;BHRNC03_UCOME69
BHRNC03;USAKE27;BHRNC03_USAKE27
BHRNC03;USAKE28;BHRNC03_USAKE28
BHRNC03;USAKE29;BHRNC03_USAKE29
BHRNC03;UATCHA7;BHRNC03_UATCHA7
BHRNC03;UATCHA8;BHRNC03_UATCHA8
BHRNC03;UATCHA9;BHRNC03_UATCHA9
BHRNC03;UHEVDO7;BHRNC03_UHEVDO7
BHRNC03;UHEVDO8;BHRNC03_UHEVDO8
BHRNC03;UHEVDO9;BHRNC03_UHEVDO9
BHRNC03;UOUID79;BHRNC03_UOUID79
BHRNC03;UOUID78;BHRNC03_UOUID78
BHRNC03;UOUID77;BHRNC03_UOUID77
BHRNC03;UCAMPA7;BHRNC03_UCAMPA7
BHRNC03;UCAMPA8;BHRNC03_UCAMPA8
BHRNC03;UCAMPA9;BHRNC03_UCAMPA9
BHRNC03;UHINVI7;BHRNC03_UHINVI7
BHRNC03;UHINVI8;BHRNC03_UHINVI8
BHRNC03;UHINVI9;BHRNC03_UHINVI9
BHRNC03;UTORB27;BHRNC03_UTORB27
BHRNC03;UTORB28;BHRNC03_UTORB28
BHRNC03;UTORB29;BHRNC03_UTORB29
BHRNC03;UBAROW7;BHRNC03_UBAROW7
BHRNC03;UBAROW8;BHRNC03_UBAROW8
BHRNC03;UBAROW9;BHRNC03_UBAROW9
BHRNC03;UOGOUB7;BHRNC03_UOGOUB7
BHRNC03;UOGOUB8;BHRNC03_UOGOUB8
BHRNC03;UOGOUB9;BHRNC03_UOGOUB9
BHRNC03;UAKODS7;BHRNC03_UAKODS7
BHRNC03;UAKODS8;BHRNC03_UAKODS8
BHRNC03;UAKODS9;BHRNC03_UAKODS9
BHRNC03;UADANK7;BHRNC03_UADANK7
BHRNC03;UADANK8;BHRNC03_UADANK8
BHRNC03;UADANK9;BHRNC03_UADANK9
BHRNC03;USITMO1;BHRNC03_USITMO1
BHRNC03;USITMO2;BHRNC03_USITMO2
BHRNC03;USITMO3;BHRNC03_USITMO3
BHRNC03;USITMO4;BHRNC03_USITMO4
BHRNC03;USITMO5;BHRNC03_USITMO5
BHRNC03;USITMO6;BHRNC03_USITMO6
BHRNC03;USITMOA;BHRNC03_USITMOA
BHRNC03;USITMOB;BHRNC03_USITMOB
BHRNC03;USITMOC;BHRNC03_USITMOC
BHRNC03;UAZOWL1;BHRNC03_UAZOWL1
BHRNC03;UAZOWL2;BHRNC03_UAZOWL2
BHRNC03;UAZOWL3;BHRNC03_UAZOWL3
BHRNC03;UAZOWL4;BHRNC03_UAZOWL4
BHRNC03;UAZOWL5;BHRNC03_UAZOWL5
BHRNC03;UAZOWL6;BHRNC03_UAZOWL6
BHRNC03;UAZOWLA;BHRNC03_UAZOWLA
BHRNC03;UAZOWLB;BHRNC03_UAZOWLB
BHRNC03;UAZOWLC;BHRNC03_UAZOWLC
BHRNC03;UROUPE9;BHRNC03_UROUPE9
BHRNC03;UROUPE8;BHRNC03_UROUPE8
BHRNC03;UROUPE7;BHRNC03_UROUPE7
BHRNC03;UAHIZE7;BHRNC03_UAHIZE7
BHRNC03;UAHIZE8;BHRNC03_UAHIZE8
BHRNC03;UAHIZE9;BHRNC03_UAHIZE9
BHRNC03;UOUESA7;BHRNC03_UOUESA7
BHRNC03;UOUESA8;BHRNC03_UOUESA8
BHRNC03;UOUESA9;BHRNC03_UOUESA9
BHRNC03;USN1OV1;BHRNC03_USN1OV1
BHRNC03;USN1OV2;BHRNC03_USN1OV2
BHRNC03;USN1OV3;BHRNC03_USN1OV3
BHRNC03;USN1OV4;BHRNC03_USN1OV4
BHRNC03;USN1OV5;BHRNC03_USN1OV5
BHRNC03;USN1OV6;BHRNC03_USN1OV6
BHRNC03;USN1OVA;BHRNC03_USN1OVA
BHRNC03;USN1OVB;BHRNC03_USN1OVB
BHRNC03;USN1OVC;BHRNC03_USN1OVC
BHRNC03;UIDIGN1;BHRNC03_UIDIGN1
BHRNC03;UIDIGN2;BHRNC03_UIDIGN2
BHRNC03;UIDIGN3;BHRNC03_UIDIGN3
BHRNC03;UILARA1;BHRNC03_UILARA1
BHRNC03;UILARA2;BHRNC03_UILARA2
BHRNC03;UILARA3;BHRNC03_UILARA3
BHRNC03;USAVI7;BHRNC03_USAVI7
BHRNC03;USAVI8;BHRNC03_USAVI8
BHRNC03;USAVI9;BHRNC03_USAVI9
BHRNC03;UCOME74;BHRNC03_UCOME74
BHRNC03;UCOME75;BHRNC03_UCOME75
BHRNC03;UCOME76;BHRNC03_UCOME76
BHRNC03;UOUID11;BHRNC03_UOUID11
BHRNC03;UOUID12;BHRNC03_UOUID12
BHRNC03;UOUID13;BHRNC03_UOUID13
BHRNC03;UOUID14;BHRNC03_UOUID14
BHRNC03;UOUID15;BHRNC03_UOUID15
BHRNC03;UOUID16;BHRNC03_UOUID16
BHRNC03;UOUID21;BHRNC03_UOUID21
BHRNC03;UOUID22;BHRNC03_UOUID22
BHRNC03;UOUID23;BHRNC03_UOUID23
BHRNC03;UOUID24;BHRNC03_UOUID24
BHRNC03;UOUID25;BHRNC03_UOUID25
BHRNC03;UOUID26;BHRNC03_UOUID26
BHRNC03;UOUID31;BHRNC03_UOUID31
BHRNC03;UOUID32;BHRNC03_UOUID32
BHRNC03;UOUID33;BHRNC03_UOUID33
BHRNC03;UOUID34;BHRNC03_UOUID34
BHRNC03;UOUID35;BHRNC03_UOUID35
BHRNC03;UOUID36;BHRNC03_UOUID36
BHRNC03;UCASA1;BHRNC03_UCASA1
BHRNC03;UCASA2;BHRNC03_UCASA2
BHRNC03;UCASA3;BHRNC03_UCASA3
BHRNC03;UCASA4;BHRNC03_UCASA4
BHRNC03;UCASA5;BHRNC03_UCASA5
BHRNC03;UCASA6;BHRNC03_UCASA6
BHRNC03;UCOME1;BHRNC03_UCOME1
BHRNC03;UCOME2;BHRNC03_UCOME2
BHRNC03;UCOME3;BHRNC03_UCOME3
BHRNC03;UCOME4;BHRNC03_UCOME4
BHRNC03;UCOME57;BHRNC03_UCOME57
BHRNC03;UCOME6;BHRNC03_UCOME6
BHRNC03;UCOME21;BHRNC03_UCOME21
BHRNC03;UCOME22;BHRNC03_UCOME22
BHRNC03;UCOME23;BHRNC03_UCOME23
BHRNC03;UCOME24;BHRNC03_UCOME24
BHRNC03;UCOME25;BHRNC03_UCOME25
BHRNC03;UCOME26;BHRNC03_UCOME26
BHRNC03;UCOME31;BHRNC03_UCOME31
BHRNC03;UCOME32;BHRNC03_UCOME32
BHRNC03;UCOME33;BHRNC03_UCOME33
BHRNC03;UCOME34;BHRNC03_UCOME34
BHRNC03;UCOME35;BHRNC03_UCOME35
BHRNC03;UCOME36;BHRNC03_UCOME36
BHRNC03;UGRANP1;BHRNC03_UGRANP1
BHRNC03;UGRANP2;BHRNC03_UGRANP2
BHRNC03;UGRANP3;BHRNC03_UGRANP3
BHRNC03;UGRANP4;BHRNC03_UGRANP4
BHRNC03;UGRANP5;BHRNC03_UGRANP5
