id_data	data_legend	position_ordonnee	display_type	line_design	color	filled_color
seri.gtms.0095.01.immediate_assignment.kpis.0095.01.nb_immediate_assignment_attempts	SDCCH Assignment Requests Number (Nb)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0095.01.immediate_assignment.kpis.0095.01.immediate_assignment_success_rate	SDCCH Assignment Success Rate (%)	left	line	circle	#ff0000	#ffffff@1
seri.gtms.0095.01.sdcch_blocking_and_drop.kpis.0095.01.nb_immediate_assignment_attempts	SDCCH Assignment Requests Number (Nb)	right	bar	none	#333333	#FF0000@0.5
seri.gtms.0095.01.sdcch_blocking_and_drop.kpis.0095.01.sdcch_assign_success	SDCCH Success Ended Number (Nb)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0095.01.sdcch_blocking_and_drop.kpis.0095.01.sdcch_blocking_rate	SDCCH Blocking Rate (%)	left	line	circle	#FF0000	#FFFFFF@1
seri.gtms.0095.01.sdcch_blocking_and_drop.kpis.0095.01.sdcch_drop_rate	SDCCH Drop Rate  (%)	left	line	circle	#0099FF	#FFFFFF@1
seri.gtms.0095.01.sdcch_drop_causes.kpis.0095.01.sdcch_assign_success	SDCCH Success Ended Number (Nb)	right	line	circle	#ff0000	#FFFFFF@1
seri.gtms.0095.01.sdcch_drop_causes.kpis.0095.01.sdcch_drop_rate	SDCCH Drop Rate  (%)	left	line	circle	#333333	#ffffff@1
seri.gtms.0095.01.sdcch_drop_causes.kpis.0095.01.sdcch_drop_radio_rate	SDCCH Drop Radio Rate (%)	left	cumulatedbar	none	#333333	#FF0000@0.5
seri.gtms.0095.01.sdcch_drop_causes.kpis.0095.01.sdcch_drop_ho_rate	SDCCH Drop Handover Rate (%)	left	cumulatedbar	none	#333333	#FF0099@0.5
seri.gtms.0095.01.sdcch_drop_causes.kpis.0095.01.sdcch_drop_bss_rate	SDCCH Drop BSS Rate (%)	left	cumulatedbar	none	#333333	#000099@0.5
seri.gtms.0095.01.sdcch_drop_causes.kpis.0095.01.sdcch_drop_others_rate	SDCCH Drop Others Rate (%)	left	cumulatedbar	none	#333333	#FFFF00@0.5
seri.gtms.0095.01.sdcch_load.kpis.0095.01.sdcch_traffic_carried	SDCCH Traffic Carried (erlang)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0095.01.sdcch_load.kpis.0095.01.sdcch_mean_holding_time	SDCCH Mean Holding Time (s)	left	line	circle	#ff0000	#ffffff@1
seri.gtms.0095.01.assignment.kpis.0095.01.nb_assignment_attempts	TCH Attempts Number (Nb)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0095.01.assignment.kpis.0095.01.assignment_success_rate	TCH Assignment Success Rate (%)	left	line	circle	#ff0000	#ffffff@1
seri.gtms.0095.01.tch_drop_causes.kpis.0095.01.nb_successful_assignments	TCH Assignment Success  Number (Nb)	right	line	circle	#006600	#FFFFFF@1
seri.gtms.0095.01.tch_drop_causes.kpis.0095.01.tch_drop_rate	TCH Drop Rate (%)	left	line	circle	#ff0000	#FFFFFF@1
seri.gtms.0095.01.tch_drop_causes.kpis.0095.01.tch_drop_radio_rate	TCH Drop Radio Rate (%)	left	cumulatedbar	none	#333333	#FF0000@0.5
seri.gtms.0095.01.tch_drop_causes.kpis.0095.01.tch_drop_ho_rate	TCH Drop Handover Rate (%)	left	cumulatedbar	none	#333333	#FF0099@0.5
seri.gtms.0095.01.tch_drop_causes.kpis.0095.01.tch_drop_bss_rate	TCH Drop BSS Rate (%)	left	cumulatedbar	none	#333333	#000099@0.5
seri.gtms.0095.01.tch_drop_causes.kpis.0095.01.tch_drop_others	TCH Drop Others Rate (%)	left	cumulatedbar	none	#333333	#FFFF00@0.5
seri.gtms.0095.01.tch_traffic.kpis.0095.01.tch_traffic_carried	TCH Traffic Carried Total (erlang)	right	line	square	#333333	#FFFFFF@1
seri.gtms.0095.01.tch_traffic.kpis.0095.01.tch_full_rate_erlang	TCH Traffic Full Rate Erlang (erlang)	right	cumulatedbar	none	#333333	#FF0000@0.5
seri.gtms.0095.01.tch_traffic.kpis.0095.01.tch_half_rate_erlang	TCH Traffic Half Rate Erlang (erlang)	right	cumulatedbar	none	#333333	#FF0099@0.5
seri.gtms.0095.01.tch_traffic.kpis.0095.01.tch_full_rate_amr_erlang	TCH Traffic Full Rate AMR Erlang (erlang)	right	cumulatedbar	none	#333333	#000099@0.5
