id_page	object_type	pie_split_type	pie_split_by	ordonnee_left_name	ordonnee_right_name	graph_width	graph_height	position_legende	default_orderby	default_asc_desc	gis	gis_based_on	definition	troubleshooting	is_configure	scale
gtms.0095.01.immediate_assignment	graph			%	Nb	900	450	top	seri.gtms.0095.01.immediate_assignment.kpis.0095.01.immediate_assignment_success_rate	1	1	seri.gtms.0095.01.immediate_assignment.kpis.0095.01.immediate_assignment_success_rate	SDCCH immediate assignment efficiency		1	textlin
gtms.0095.01.sdcch_blocking_and_drop	graph			%	Nb	900	450	top	seri.gtms.0095.01.sdcch_blocking_and_drop.kpis.0095.01.sdcch_blocking_rate	1	1	seri.gtms.0095.01.sdcch_blocking_and_drop.kpis.0095.01.sdcch_blocking_rate	SDCCH Blocking and Drop Rate		1	textlin
gtms.0095.01.sdcch_drop_causes	graph			%	Nb	900	450	top	seri.gtms.0095.01.sdcch_drop_causes.kpis.0095.01.sdcch_drop_rate	0	1	seri.gtms.0095.01.sdcch_drop_causes.kpis.0095.01.sdcch_drop_rate	SDCCH drop rates		1	textlin
gtms.0095.01.sdcch_load	graph			s	Erlang	900	450	top	seri.gtms.0095.01.sdcch_load.kpis.0095.01.sdcch_traffic_carried	0	0		SDCCH  load statistics		1	textlin
gtms.0095.01.assignment	graph			%	Nb	900	450	top	seri.gtms.0095.01.assignment.kpis.0095.01.assignment_success_rate	1	1	seri.gtms.0095.01.assignment.kpis.0095.01.assignment_success_rate	TCH Assignment efficiency		1	textlin
gtms.0095.01.tch_drop_causes	graph			%	Nb	900	450	top	seri.gtms.0095.01.tch_drop_causes.kpis.0095.01.tch_drop_rate	0	1	seri.gtms.0095.01.tch_drop_causes.kpis.0095.01.tch_drop_rate	TCH drop causes		1	textlin
gtms.0095.01.tch_traffic	graph			s	Erlang	900	450	top	seri.gtms.0095.01.tch_traffic.kpis.0095.01.tch_traffic_carried	0	0		TCH load statistics		1	textlin
gtms.0095.01.tch_interference_band	graph			%		900	450	top	seri.gtms.0095.01.tch_interference_band.kpis.0095.01.interference_band_5_rate_on_idle_tch	0	1	seri.gtms.0095.01.tch_interference_band.kpis.0095.01.interference_band_1_rate_on_idle_tch	Interference band rate on idle TCH		1	textlin
gtms.0095.01.call_setup	graph			%	Nb	900	450	top	seri.gtms.0095.01.call_setup.kpis.0095.01.call_setup_success_rate	1	1	seri.gtms.0095.01.call_setup.kpis.0095.01.call_setup_success_rate	call setup efficiency		1	textlin
gtms.0095.01.sdcch_and_tch_assignment	graph			%	Nb	900	450	top	seri.gtms.0095.01.sdcch_and_tch_assignment.kpis.0095.01.immediate_assignment_success_rate	1	1	seri.gtms.0095.01.sdcch_and_tch_assignment.kpis.0095.01.immediate_assignment_success_rate	SDCCH and TCH efficiency in call setup		1	textlin
