id_ligne	kpi_name	edw_group_table	kpi_label	comment	kpi_formula	pourcentage	on_off	value_type	new_field	visible	numerator_denominator	kpi_type
kpis.0095.01.ri_capture_duration	RI_CAPTURE_DURATION	edw_huabss_bss_axe1	RI CAPTURE DURATION	RI CAPTURE DURATION	CASE WHEN (capture_duration/capture_duration_expected)*100>100 THEN 100 ELSE (capture_duration/capture_duration_expected)*100 END	1	1	customisateur	1	0	total	float4
kpis.0095.01.nb_immediate_assignment_attempts	Nb_Immediate_Assignment_Attempts	edw_huabss_bss_axe1	SDCCH Assignment Requests Number (Nb)	Number of SDCCH seizure requests during radio link establishment procedure 	K3000	0	1	customisateur	1	1	total	float4
kpis.0095.01.c_nb_immediate_assignment_attempts1	C_Nb_Immediate_Assignment_Attempts1	edw_huabss_bss_axe1	Corporate SDCCH Assignment Requests Number (Nb)	Number of SDCCH seizure requests during radio link establishment procedure 	K3000	0	1	customisateur	1	1	total	float4
kpis.0095.01.nb_successful_immediate_assignments	Nb_Successful_Immediate_Assignments	edw_huabss_bss_axe1	SDCCH Assignment Success Number (Nb)	Total number of SDCCH successfully seized by mobile during radio link establishment procedure 	K3003	0	1	customisateur	1	1	total	float4
kpis.0095.01.c_nb_successful_immediate_assignments	C_Nb_Successful_Immediate_Assignments	edw_huabss_bss_axe1	Corporate SDCCH Assignment Success Number (Nb)	Total number of SDCCH successfully seized by mobile during radio link establishment procedure 	K3003	0	1	customisateur	1	1	total	float4
kpis.0095.01.immediate_assignment_success_rate	Immediate_Assignment_Success_Rate	edw_huabss_bss_axe1	SDCCH Assignment Success Rate (%)	SDCCH ASSIGN SUCCESS/SDCCH ASSIGN REQUESTS 	CASE WHEN K3003/K3000*100>100 THEN 100 ELSE K3003/K3000*100 END	1	1	customisateur	1	1	total	float4
kpis.0095.01.nb_immediate_assignment_losses	Nb_Immediate_Assignment_Losses	edw_huabss_bss_axe1	SDCCH Assignment Failures Number (Nb)	SDCCH ASSIGN REQUESTS - SDCCH ASSIGN SUCCESS 	K3000-K3003	0	1	customisateur	1	1	total	float4
kpis.0095.01.immediate_assignment_loss_rate	Immediate_Assignment_Loss_Rate	edw_huabss_bss_axe1	SDCCH Assignment Failures Rate (%)	(SDCCH ASSIGN REQUESTS - SDCCH ASSIGN SUCCESS)/SDCCH ASSIGN REQUESTS 	CASE WHEN (K3000-K3003)/K3000*100>100 THEN 100 ELSE (K3000-K3003)/K3000*100 END	1	1	customisateur	1	1	total	float4
kpis.0095.01.sdcch_time_congestion_rate	SDCCH_TIME_CONGESTION_RATE	edw_huabss_bss_axe1	SDCCH Time Congestion Rate (%)	SDCCH TIME CONGESTION RATE 	CASE WHEN 100*R3540/CAPTURE_DURATION_REAL>100 THEN 100 ELSE 100*R3540/CAPTURE_DURATION_REAL END	1	1	customisateur	1	1	total	float4
kpis.0095.01.random_access_attempts	RANDOM_ACCESS_ATTEMPTS	edw_huabss_bss_axe1	Random Access Attempts Number (Nb)	Number of random access attempts 	NULL	0	1	customisateur	1	1	total	float4
