id	id_page	id_elem	class_object	ligne	id_product
dshd.0095.01.call_setup_and_drop.gtms.0095.01.call_setup	dshd.0095.01.call_setup_and_drop	gtms.0095.01.call_setup	graph	1	1
seri.gtms.0095.01.call_setup.kpis.0095.01.nb_assignment_attempts	gtms.0095.01.call_setup	kpis.0095.01.nb_assignment_attempts	kpi	1	1
seri.gtms.0095.01.call_setup.kpis.0095.01.call_setup_success_rate	gtms.0095.01.call_setup	kpis.0095.01.call_setup_success_rate	kpi	2	1
dshd.0095.01.call_setup_and_drop.gtms.0095.01.sdcch_and_tch_assignment	dshd.0095.01.call_setup_and_drop	gtms.0095.01.sdcch_and_tch_assignment	graph	2	1
seri.gtms.0095.01.sdcch_and_tch_assignment.kpis.0095.01.nb_immediate_assignment_attempts	gtms.0095.01.sdcch_and_tch_assignment	kpis.0095.01.nb_immediate_assignment_attempts	kpi	1	1
seri.gtms.0095.01.sdcch_and_tch_assignment.kpis.0095.01.nb_assignment_attempts	gtms.0095.01.sdcch_and_tch_assignment	kpis.0095.01.nb_assignment_attempts	kpi	2	1
seri.gtms.0095.01.sdcch_and_tch_assignment.kpis.0095.01.immediate_assignment_success_rate	gtms.0095.01.sdcch_and_tch_assignment	kpis.0095.01.immediate_assignment_success_rate	kpi	3	1
seri.gtms.0095.01.sdcch_and_tch_assignment.kpis.0095.01.assignment_success_rate	gtms.0095.01.sdcch_and_tch_assignment	kpis.0095.01.assignment_success_rate	kpi	4	1
dshd.0095.01.call_setup_and_drop.gtms.0095.01.sdcch_blocking_and_drop	dshd.0095.01.call_setup_and_drop	gtms.0095.01.sdcch_blocking_and_drop	graph	3	1
seri.gtms.0095.01.sdcch_blocking_and_drop.kpis.0095.01.nb_immediate_assignment_attempts	gtms.0095.01.sdcch_blocking_and_drop	kpis.0095.01.nb_immediate_assignment_attempts	kpi	1	1
seri.gtms.0095.01.sdcch_blocking_and_drop.kpis.0095.01.sdcch_assign_success	gtms.0095.01.sdcch_blocking_and_drop	kpis.0095.01.sdcch_assign_success	kpi	2	1
seri.gtms.0095.01.sdcch_blocking_and_drop.kpis.0095.01.sdcch_blocking_rate	gtms.0095.01.sdcch_blocking_and_drop	kpis.0095.01.sdcch_blocking_rate	kpi	3	1
seri.gtms.0095.01.sdcch_blocking_and_drop.kpis.0095.01.sdcch_drop_rate	gtms.0095.01.sdcch_blocking_and_drop	kpis.0095.01.sdcch_drop_rate	kpi	4	1
dshd.0095.01.call_setup_and_drop.gtms.0095.01.call_blocking_and_drop	dshd.0095.01.call_setup_and_drop	gtms.0095.01.call_blocking_and_drop	graph	4	1
seri.gtms.0095.01.call_blocking_and_drop.kpis.0095.01.nb_assignment_attempts	gtms.0095.01.call_blocking_and_drop	kpis.0095.01.nb_assignment_attempts	kpi	1	1
seri.gtms.0095.01.call_blocking_and_drop.kpis.0095.01.nb_successful_assignments	gtms.0095.01.call_blocking_and_drop	kpis.0095.01.nb_successful_assignments	kpi	2	1
seri.gtms.0095.01.call_blocking_and_drop.kpis.0095.01.tch_blocking_rate	gtms.0095.01.call_blocking_and_drop	kpis.0095.01.tch_blocking_rate	kpi	3	1
seri.gtms.0095.01.call_blocking_and_drop.kpis.0095.01.call_drop_rate	gtms.0095.01.call_blocking_and_drop	kpis.0095.01.call_drop_rate	kpi	4	1
dshd.0095.01.call_setup_and_drop.gtms.0095.01.call_success	dshd.0095.01.call_setup_and_drop	gtms.0095.01.call_success	graph	5	1
seri.gtms.0095.01.call_success.kpis.0095.01.nb_assignment_attempts	gtms.0095.01.call_success	kpis.0095.01.nb_assignment_attempts	kpi	1	1
seri.gtms.0095.01.call_success.kpis.0095.01.nb_successful_assignments	gtms.0095.01.call_success	kpis.0095.01.nb_successful_assignments	kpi	2	1
seri.gtms.0095.01.call_success.kpis.0095.01.call_success_rate	gtms.0095.01.call_success	kpis.0095.01.call_success_rate	kpi	3	1
dshd.0095.01.sdcch.gtms.0095.01.immediate_assignment	dshd.0095.01.sdcch	gtms.0095.01.immediate_assignment	graph	1	1
seri.gtms.0095.01.immediate_assignment.kpis.0095.01.nb_immediate_assignment_attempts	gtms.0095.01.immediate_assignment	kpis.0095.01.nb_immediate_assignment_attempts	kpi	1	1
seri.gtms.0095.01.immediate_assignment.kpis.0095.01.immediate_assignment_success_rate	gtms.0095.01.immediate_assignment	kpis.0095.01.immediate_assignment_success_rate	kpi	2	1
dshd.0095.01.sdcch.gtms.0095.01.sdcch_drop_causes	dshd.0095.01.sdcch	gtms.0095.01.sdcch_drop_causes	graph	2	1
seri.gtms.0095.01.sdcch_drop_causes.kpis.0095.01.sdcch_assign_success	gtms.0095.01.sdcch_drop_causes	kpis.0095.01.sdcch_assign_success	kpi	1	1
seri.gtms.0095.01.sdcch_drop_causes.kpis.0095.01.sdcch_drop_rate	gtms.0095.01.sdcch_drop_causes	kpis.0095.01.sdcch_drop_rate	kpi	2	1
