agregation_rank	agregation	agregation_type	on_off	agregation_name	agregation_mixed	agregation_label	agregation_level	source_default	level_operand	level_source	mandatory	family	voronoi_polygon_calculation	axe	link_to_aa	limit_3rd_axis	na_max_unique	na_parent_unique	sdna_id	third_axis_default_level	uniq_label	link_to_ne
1	cell	text	1	cell		Cell	1	cell	=	cell	1	cellba	1					1	sdna.0097.01.cell	0	1	
2	usercluster1	text	1	usercluster1		UserCellCluster1	2	cell	>	cell	1	cellba	1					1	sdna.0097.01.usercluster1	0	1	
3	usercluster2	text	1	usercluster2		UserCellCluster2	2	cell	>	cell	1	cellba	1					1	sdna.0097.01.usercluster2	0	1	
4	usercluster3	text	1	usercluster3		UserCellCluster3	2	cell	>	cell	1	cellba	1					1	sdna.0097.01.usercluster3	0	1	
5	enodeb	text	1	enodeb		eNodeB	2	cell	>	cell	1	cellba	1					1	sdna.0097.01.enodeb	0	1	
6	ta	text	1	ta		Tracking Area	2	cell	>	cell	1	cellba	1					1	sdna.0097.01.ta	0	1	
7	sgw	text	1	sgw		SGW	2	cell	>	cell	1	cellba	1					1	sdna.0097.01.sgw	0	1	
8	vendor	text	1	vendor		Vendor	3	enodeb	>	enodeb	1	cellba	1				1	1	sdna.0097.01.vendor	0	1	
9	mme	text	1	mme		MME	3	ta	>	ta	1	cellba	1					1	sdna.0097.01.mme	0	1	
10	network	text	1	network		Network	4	mme	>	mme	1	cellba	1				1	1	sdna.0097.01.network	0	1	
1	cell	text	1	cell		Cell	1	cell	=	cell	1	cellbb	1					1	sdna.0097.02.cell	0	1	
2	usercluster1	text	1	usercluster1		UserCellCluster1	2	cell	>	cell	1	cellbb	1					1	sdna.0097.02.usercluster1	0	1	
3	usercluster2	text	1	usercluster2		UserCellCluster2	2	cell	>	cell	1	cellbb	1					1	sdna.0097.02.usercluster2	0	1	
4	usercluster3	text	1	usercluster3		UserCellCluster3	2	cell	>	cell	1	cellbb	1					1	sdna.0097.02.usercluster3	0	1	
5	enodeb	text	1	enodeb		eNodeB	2	cell	>	cell	1	cellbb	1					1	sdna.0097.02.enodeb	0	1	
6	ta	text	1	ta		Tracking Area	2	cell	>	cell	1	cellbb	1					1	sdna.0097.02.ta	0	1	
7	sgw	text	1	sgw		SGW	2	cell	>	cell	1	cellbb	1					1	sdna.0097.02.sgw	0	1	
8	vendor	text	1	vendor		Vendor	3	enodeb	>	enodeb	1	cellbb	1				1	1	sdna.0097.02.vendor	0	1	
9	mme	text	1	mme		MME	3	ta	>	ta	1	cellbb	1					1	sdna.0097.02.mme	0	1	
10	network	text	1	network		Network	4	mme	>	mme	1	cellbb	1				1	1	sdna.0097.02.network	0	1	
1	cell	text	1	cell		Cell	1	cell	=	cell	1	cellbc	1					1	sdna.0097.03.cell	0	1	
2	usercluster1	text	1	usercluster1		UserCellCluster1	2	cell	>	cell	1	cellbc	1					1	sdna.0097.03.usercluster1	0	1	
3	usercluster2	text	1	usercluster2		UserCellCluster2	2	cell	>	cell	1	cellbc	1					1	sdna.0097.03.usercluster2	0	1	
4	usercluster3	text	1	usercluster3		UserCellCluster3	2	cell	>	cell	1	cellbc	1					1	sdna.0097.03.usercluster3	0	1	
5	enodeb	text	1	enodeb		eNodeB	2	cell	>	cell	1	cellbc	1					1	sdna.0097.03.enodeb	0	1	
6	ta	text	1	ta		Tracking Area	2	cell	>	cell	1	cellbc	1					1	sdna.0097.03.ta	0	1	
7	sgw	text	1	sgw		SGW	2	cell	>	cell	1	cellbc	1					1	sdna.0097.03.sgw	0	1	
8	vendor	text	1	vendor		Vendor	3	enodeb	>	enodeb	1	cellbc	1				1	1	sdna.0097.03.vendor	0	1	
9	mme	text	1	mme		MME	3	ta	>	ta	1	cellbc	1					1	sdna.0097.03.mme	0	1	
10	network	text	1	network		Network	4	mme	>	mme	1	cellbc	1				1	1	sdna.0097.03.network	0	1	
1	cell	text	1	cell		Cell	1	cell	=	cell	1	cellbd	1					1	sdna.0097.04.cell	0	1	
2	usercluster1	text	1	usercluster1		UserCellCluster1	2	cell	>	cell	1	cellbd	1					1	sdna.0097.04.usercluster1	0	1	
3	usercluster2	text	1	usercluster2		UserCellCluster2	2	cell	>	cell	1	cellbd	1					1	sdna.0097.04.usercluster2	0	1	
4	usercluster3	text	1	usercluster3		UserCellCluster3	2	cell	>	cell	1	cellbd	1					1	sdna.0097.04.usercluster3	0	1	
5	enodeb	text	1	enodeb		eNodeB	2	cell	>	cell	1	cellbd	1					1	sdna.0097.04.enodeb	0	1	
6	ta	text	1	ta		Tracking Area	2	cell	>	cell	1	cellbd	1					1	sdna.0097.04.ta	0	1	
7	sgw	text	1	sgw		SGW	2	cell	>	cell	1	cellbd	1					1	sdna.0097.04.sgw	0	1	
8	vendor	text	1	vendor		Vendor	3	enodeb	>	enodeb	1	cellbd	1				1	1	sdna.0097.04.vendor	0	1	
9	mme	text	1	mme		MME	3	ta	>	ta	1	cellbd	1					1	sdna.0097.04.mme	0	1	
10	network	text	1	network		Network	4	mme	>	mme	1	cellbd	1				1	1	sdna.0097.04.network	0	1	
1	stc	text	1	stc		SourceTargetCell	1	stc	=	stc	1	adj	1					1	sdna.0097.06.stc	0	1	
2	sourcecell	text	1	sourcecell		SourceCell	2	stc	>	stc	1	adj	1					1	sdna.0097.06.sourcecell	0	1	
3	network	text	1	network		Network	3	sourcecell	>	sourcecell	1	adj	1				1	1	sdna.0097.06.network	0	1	
1	enodeb	text	1	enodeb		eNodeB	1	enodeb	=	enodeb	1	enodeb	1					1	sdna.0097.05.enodeb	0	1	
2	vendor	text	1	vendor		Vendor	2	enodeb	>	enodeb	1	enodeb	1					1	sdna.0097.05.vendor	0	1	
3	ta	text	1	ta		Tracking Area	2	enodeb	>	enodeb	1	enodeb	1					1	sdna.0097.05.ta	0	1	
4	network	text	1	network		Network	3	ta	>	ta	1	enodeb	1				1	1	sdna.0097.05.network	0	1	
