id_ligne	nms_table	nms_field_name	edw_group_table	edw_target_field_name	edw_field_name	edw_field_type	edw_agregation_function	edw_agregation_formula	new_date	new_field	on_off	id_group_table	aggregated_flag	comment	visible	default_value	flat_file_position	edw_field_name_label
raws.0097.01.l_rrc_connreq_msg	1526726657	L.RRC.ConnReq.Msg||1526726657	edw_hualte_cellba_axe1	l_rrc_connreq_msg	L_RRC_CONNREQ_MSG	float4	SUM	SUM(l_rrc_connreq_msg)	20160129	1	0	1	1	Measurement related to RRC setup: Number of RRC Connection Request messages received from the UE in a cell, including the number of retransmitted messages (DBS3900 LTE V100R003C00SPC430)	1	0		L_RRC_CONNREQ_MSG
raws.0097.01.l_rrc_connreq_att	1526726657	L.RRC.ConnReq.Att||1526726658	edw_hualte_cellba_axe1	l_rrc_connreq_att	L_RRC_CONNREQ_ATT	float4	SUM	SUM(l_rrc_connreq_att)	20160129	1	0	1	1	Measurement related to RRC setup: Number of RRC Connection Request messages received from the UE in a cell, excluding the number of retransmitted messages (DBS3900 LTE V100R003C00SPC430)	1	0		L_RRC_CONNREQ_ATT
raws.0097.01.l_rrc_connreq_succ	1526726657	L.RRC.ConnReq.Succ||1526726659	edw_hualte_cellba_axe1	l_rrc_connreq_succ	L_RRC_CONNREQ_SUCC	float4	SUM	SUM(l_rrc_connreq_succ)	20160129	1	0	1	1	Measurement related to RRC setup: Number of RRC Connection Setup Complete messages received from the UE in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_RRC_CONNREQ_SUCC
raws.0097.01.l_e_rab_attest_qci_1	1526726659	L.E-RAB.AttEst.QCI.1||1526726668	edw_hualte_cellba_axe1	l_e_rab_attest_qci_1	L_E_RAB_ATTEST_QCI_1	float4	SUM	SUM(l_e_rab_attest_qci_1)	20160129	1	0	1	1	Measurement related to E-RAB establish: Number of E-RAB setup attempts initiated by UEs for services with the QCI of 1 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_ATTEST_QCI_1
raws.0097.01.l_e_rab_succest_qci_1	1526726659	L.E-RAB.SuccEst.QCI.1||1526726669	edw_hualte_cellba_axe1	l_e_rab_succest_qci_1	L_E_RAB_SUCCEST_QCI_1	float4	SUM	SUM(l_e_rab_succest_qci_1)	20160129	1	0	1	1	Measurement related to E-RAB establish: Number of successful E-RAB setups initiated by UEs for services with the QCI of 1 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_SUCCEST_QCI_1
raws.0097.01.l_e_rab_attest_qci_2	1526726659	L.E-RAB.AttEst.QCI.2||1526726670	edw_hualte_cellba_axe1	l_e_rab_attest_qci_2	L_E_RAB_ATTEST_QCI_2	float4	SUM	SUM(l_e_rab_attest_qci_2)	20160129	1	0	1	1	Measurement related to E-RAB establish: Number of E-RAB setup attempts initiated by UEs for services with the QCI of 2 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_ATTEST_QCI_2
raws.0097.01.l_e_rab_succest_qci_2	1526726659	L.E-RAB.SuccEst.QCI.2||1526726671	edw_hualte_cellba_axe1	l_e_rab_succest_qci_2	L_E_RAB_SUCCEST_QCI_2	float4	SUM	SUM(l_e_rab_succest_qci_2)	20160129	1	0	1	1	Measurement related to E-RAB establish: Number of successful E-RAB setups initiated by UEs for services with the QCI of 2 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_SUCCEST_QCI_2
raws.0097.01.l_e_rab_attest_qci_3	1526726659	L.E-RAB.AttEst.QCI.3||1526726672	edw_hualte_cellba_axe1	l_e_rab_attest_qci_3	L_E_RAB_ATTEST_QCI_3	float4	SUM	SUM(l_e_rab_attest_qci_3)	20160129	1	0	1	1	Measurement related to E-RAB establish: Number of E-RAB setup attempts initiated by UEs for services with the QCI of 3 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_ATTEST_QCI_3
raws.0097.01.l_e_rab_succest_qci_3	1526726659	L.E-RAB.SuccEst.QCI.3||1526726673	edw_hualte_cellba_axe1	l_e_rab_succest_qci_3	L_E_RAB_SUCCEST_QCI_3	float4	SUM	SUM(l_e_rab_succest_qci_3)	20160129	1	0	1	1	Measurement related to E-RAB establish: Number of successful E-RAB setups initiated by UEs for services with the QCI of 3 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_SUCCEST_QCI_3
raws.0097.01.l_e_rab_attest_qci_4	1526726659	L.E-RAB.AttEst.QCI.4||1526726674	edw_hualte_cellba_axe1	l_e_rab_attest_qci_4	L_E_RAB_ATTEST_QCI_4	float4	SUM	SUM(l_e_rab_attest_qci_4)	20160129	1	0	1	1	Measurement related to E-RAB establish: Number of E-RAB setup attempts initiated by UEs for services with the QCI of 4 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_ATTEST_QCI_4
raws.0097.01.l_e_rab_succest_qci_4	1526726659	L.E-RAB.SuccEst.QCI.4||1526726675	edw_hualte_cellba_axe1	l_e_rab_succest_qci_4	L_E_RAB_SUCCEST_QCI_4	float4	SUM	SUM(l_e_rab_succest_qci_4)	20160129	1	0	1	1	Measurement related to E-RAB establish: Number of successful E-RAB setups initiated by UEs for services with the QCI of 4 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_SUCCEST_QCI_4
raws.0097.01.l_e_rab_attest_qci_5	1526726659	L.E-RAB.AttEst.QCI.5||1526726676	edw_hualte_cellba_axe1	l_e_rab_attest_qci_5	L_E_RAB_ATTEST_QCI_5	float4	SUM	SUM(l_e_rab_attest_qci_5)	20160129	1	0	1	1	Measurement related to E-RAB establish: Number of E-RAB setup attempts initiated by UEs for services with the QCI of 5 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_ATTEST_QCI_5
raws.0097.01.l_e_rab_succest_qci_5	1526726659	L.E-RAB.SuccEst.QCI.5||1526726677	edw_hualte_cellba_axe1	l_e_rab_succest_qci_5	L_E_RAB_SUCCEST_QCI_5	float4	SUM	SUM(l_e_rab_succest_qci_5)	20160129	1	0	1	1	Measurement related to E-RAB establish: Number of successful E-RAB setups initiated by UEs for services with the QCI of 5 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_SUCCEST_QCI_5
raws.0097.01.l_e_rab_attest_qci_6	1526726659	L.E-RAB.AttEst.QCI.6||1526726678	edw_hualte_cellba_axe1	l_e_rab_attest_qci_6	L_E_RAB_ATTEST_QCI_6	float4	SUM	SUM(l_e_rab_attest_qci_6)	20160129	1	0	1	1	Measurement related to E-RAB establish: Number of E-RAB setup attempts initiated by UEs for services with the QCI of 6 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_ATTEST_QCI_6
raws.0097.01.l_e_rab_succest_qci_6	1526726659	L.E-RAB.SuccEst.QCI.6||1526726679	edw_hualte_cellba_axe1	l_e_rab_succest_qci_6	L_E_RAB_SUCCEST_QCI_6	float4	SUM	SUM(l_e_rab_succest_qci_6)	20160129	1	0	1	1	Measurement related to E-RAB establish: Number of successful E-RAB setups initiated by UEs for services with the QCI of 6 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_SUCCEST_QCI_6
raws.0097.01.l_e_rab_attest_qci_7	1526726659	L.E-RAB.AttEst.QCI.7||1526726680	edw_hualte_cellba_axe1	l_e_rab_attest_qci_7	L_E_RAB_ATTEST_QCI_7	float4	SUM	SUM(l_e_rab_attest_qci_7)	20160129	1	0	1	1	Measurement related to E-RAB establish: Number of E-RAB setup attempts initiated by UEs for services with the QCI of 7 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_ATTEST_QCI_7
raws.0097.01.l_e_rab_succest_qci_7	1526726659	L.E-RAB.SuccEst.QCI.7||1526726681	edw_hualte_cellba_axe1	l_e_rab_succest_qci_7	L_E_RAB_SUCCEST_QCI_7	float4	SUM	SUM(l_e_rab_succest_qci_7)	20160129	1	0	1	1	Measurement related to E-RAB establish: Number of successful E-RAB setups initiated by UEs for services with the QCI of 7 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_SUCCEST_QCI_7
raws.0097.01.l_e_rab_attest_qci_8	1526726659	L.E-RAB.AttEst.QCI.8||1526726682	edw_hualte_cellba_axe1	l_e_rab_attest_qci_8	L_E_RAB_ATTEST_QCI_8	float4	SUM	SUM(l_e_rab_attest_qci_8)	20160129	1	0	1	1	Measurement related to E-RAB establish: Number of E-RAB setup attempts initiated by UEs for services with the QCI of 8 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_ATTEST_QCI_8
raws.0097.01.l_e_rab_succest_qci_8	1526726659	L.E-RAB.SuccEst.QCI.8||1526726683	edw_hualte_cellba_axe1	l_e_rab_succest_qci_8	L_E_RAB_SUCCEST_QCI_8	float4	SUM	SUM(l_e_rab_succest_qci_8)	20160129	1	0	1	1	Measurement related to E-RAB establish: Number of successful E-RAB setups initiated by UEs for services with the QCI of 8 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_SUCCEST_QCI_8
raws.0097.01.l_e_rab_attest_qci_9	1526726659	L.E-RAB.AttEst.QCI.9||1526726684	edw_hualte_cellba_axe1	l_e_rab_attest_qci_9	L_E_RAB_ATTEST_QCI_9	float4	SUM	SUM(l_e_rab_attest_qci_9)	20160129	1	0	1	1	Measurement related to E-RAB establish: Number of E-RAB setup attempts initiated by UEs for services with the QCI of 9 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_ATTEST_QCI_9
raws.0097.01.l_e_rab_succest_qci_9	1526726659	L.E-RAB.SuccEst.QCI.9||1526726685	edw_hualte_cellba_axe1	l_e_rab_succest_qci_9	L_E_RAB_SUCCEST_QCI_9	float4	SUM	SUM(l_e_rab_succest_qci_9)	20160129	1	0	1	1	Measurement related to E-RAB establish: Number of successful E-RAB setups initiated by UEs for services with the QCI of 9 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_SUCCEST_QCI_9
raws.0097.01.l_e_rab_abnormrel_qci_1	1526726660	L.E-RAB.AbnormRel.QCI.1||1526726686	edw_hualte_cellba_axe1	l_e_rab_abnormrel_qci_1	L_E_RAB_ABNORMREL_QCI_1	float4	SUM	SUM(l_e_rab_abnormrel_qci_1)	20160129	1	0	1	1	Measurement related to E-RAB release: Number of abnormal E-RAB releases for services with the QCI of 1 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_ABNORMREL_QCI_1
raws.0097.01.l_e_rab_normrel_qci_1	1526726660	L.E-RAB.NormRel.QCI.1||1526726687	edw_hualte_cellba_axe1	l_e_rab_normrel_qci_1	L_E_RAB_NORMREL_QCI_1	float4	SUM	SUM(l_e_rab_normrel_qci_1)	20160129	1	0	1	1	Measurement related to E-RAB release: Number of normal E-RAB releases for services with the QCI of 1 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_NORMREL_QCI_1
raws.0097.01.l_e_rab_abnormrel_qci_2	1526726660	L.E-RAB.AbnormRel.QCI.2||1526726688	edw_hualte_cellba_axe1	l_e_rab_abnormrel_qci_2	L_E_RAB_ABNORMREL_QCI_2	float4	SUM	SUM(l_e_rab_abnormrel_qci_2)	20160129	1	0	1	1	Measurement related to E-RAB release: Number of abnormal E-RAB releases for services with the QCI of 2 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_ABNORMREL_QCI_2
raws.0097.01.l_e_rab_normrel_qci_2	1526726660	L.E-RAB.NormRel.QCI.2||1526726689	edw_hualte_cellba_axe1	l_e_rab_normrel_qci_2	L_E_RAB_NORMREL_QCI_2	float4	SUM	SUM(l_e_rab_normrel_qci_2)	20160129	1	0	1	1	Measurement related to E-RAB release: Number of normal E-RAB releases for services with the QCI of 2 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_NORMREL_QCI_2
raws.0097.01.l_e_rab_abnormrel_qci_3	1526726660	L.E-RAB.AbnormRel.QCI.3||1526726690	edw_hualte_cellba_axe1	l_e_rab_abnormrel_qci_3	L_E_RAB_ABNORMREL_QCI_3	float4	SUM	SUM(l_e_rab_abnormrel_qci_3)	20160129	1	0	1	1	Measurement related to E-RAB release: Number of abnormal E-RAB releases for services with the QCI of 3 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_ABNORMREL_QCI_3
raws.0097.01.l_e_rab_normrel_qci_3	1526726660	L.E-RAB.NormRel.QCI.3||1526726691	edw_hualte_cellba_axe1	l_e_rab_normrel_qci_3	L_E_RAB_NORMREL_QCI_3	float4	SUM	SUM(l_e_rab_normrel_qci_3)	20160129	1	0	1	1	Measurement related to E-RAB release: Number of normal E-RAB releases for services with the QCI of 3 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_NORMREL_QCI_3
raws.0097.01.l_e_rab_abnormrel_qci_4	1526726660	L.E-RAB.AbnormRel.QCI.4||1526726692	edw_hualte_cellba_axe1	l_e_rab_abnormrel_qci_4	L_E_RAB_ABNORMREL_QCI_4	float4	SUM	SUM(l_e_rab_abnormrel_qci_4)	20160129	1	0	1	1	Measurement related to E-RAB release: Number of abnormal E-RAB releases for services with the QCI of 4 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_ABNORMREL_QCI_4
raws.0097.01.l_e_rab_normrel_qci_4	1526726660	L.E-RAB.NormRel.QCI.4||1526726693	edw_hualte_cellba_axe1	l_e_rab_normrel_qci_4	L_E_RAB_NORMREL_QCI_4	float4	SUM	SUM(l_e_rab_normrel_qci_4)	20160129	1	0	1	1	Measurement related to E-RAB release: Number of normal E-RAB releases for services with the QCI of 4 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_NORMREL_QCI_4
raws.0097.01.l_e_rab_abnormrel_qci_5	1526726660	L.E-RAB.AbnormRel.QCI.5||1526726694	edw_hualte_cellba_axe1	l_e_rab_abnormrel_qci_5	L_E_RAB_ABNORMREL_QCI_5	float4	SUM	SUM(l_e_rab_abnormrel_qci_5)	20160129	1	0	1	1	Measurement related to E-RAB release: Number of abnormal E-RAB releases for services with the QCI of 5 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_ABNORMREL_QCI_5
raws.0097.01.l_e_rab_normrel_qci_5	1526726660	L.E-RAB.NormRel.QCI.5||1526726695	edw_hualte_cellba_axe1	l_e_rab_normrel_qci_5	L_E_RAB_NORMREL_QCI_5	float4	SUM	SUM(l_e_rab_normrel_qci_5)	20160129	1	0	1	1	Measurement related to E-RAB release: Number of normal E-RAB releases for services with the QCI of 5 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_NORMREL_QCI_5
raws.0097.01.l_e_rab_abnormrel_qci_6	1526726660	L.E-RAB.AbnormRel.QCI.6||1526726696	edw_hualte_cellba_axe1	l_e_rab_abnormrel_qci_6	L_E_RAB_ABNORMREL_QCI_6	float4	SUM	SUM(l_e_rab_abnormrel_qci_6)	20160129	1	0	1	1	Measurement related to E-RAB release: Number of abnormal E-RAB releases for services with the QCI of 6 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_ABNORMREL_QCI_6
raws.0097.01.l_e_rab_normrel_qci_6	1526726660	L.E-RAB.NormRel.QCI.6||1526726697	edw_hualte_cellba_axe1	l_e_rab_normrel_qci_6	L_E_RAB_NORMREL_QCI_6	float4	SUM	SUM(l_e_rab_normrel_qci_6)	20160129	1	0	1	1	Measurement related to E-RAB release: Number of normal E-RAB releases for services with the QCI of 6 in a cell (DBS3900 LTE V100R003C00SPC430)	1	0		L_E_RAB_NORMREL_QCI_6
