id_flat_file	flat_file_name	flat_file_naming_template	on_off	alarm_missing_file_temporization	period_type	exclusion	prefix_counter	reference	ordre	data_collection_frequency	data_chunks	granularity
1	Cell Based - RRC Connection Setup Measurement 67109365 - RRC_CS	pmresult_67109365_*[0-9]{12}.csv$	1	6	hour		N/A		1	1	24	hour
2	Cell Based - Hard Handover Measurement 67109380 - H_HO	pmresult_67109380_*[0-9]{12}.csv$	1	6	hour		N/A		1	1	24	hour
3	Cell Based - HSDPA Measurement 67109390 - HSDPA	pmresult_67109390_*[0-9]{12}.csv$	1	6	hour		N/A		1	1	24	hour
4	Cell Based - Algorithm Measurement 67109391 - CA	pmresult_67109391_*[0-9]{12}.csv$	1	6	hour		N/A		1	1	24	hour
5	Cell Based - RB Measurement 67109440 - RB_P_RNC	pmresult_67109440_*[0-9]{12}.csv$	1	6	hour		N/A		1	1	24	hour
6	Cell Based - Inter RAT Handover Measurement 67109381 - IRAT_HO	pmresult_67109381_*[0-9]{12}.csv$	1	6	hour		N/A		1	1	24	hour
7	Cell Based - Cell Compressed Mode Measurement 67109523 - CM	pmresult_67109523_*[0-9]{12}.csv$	1	6	hour		N/A		1	1	24	hour
8	Cell Based - Cell HSUPA Service Measurement 67109471 - HSUPA	pmresult_67109471_*[0-9]{12}.csv$	1	6	hour		N/A		1	1	24	hour
9	Cell Based - Cell Throughput Measurement 67109508 - THRU	pmresult_67109508_*[0-9]{12}.csv$	1	6	hour		N/A		1	1	24	hour
10	Cell Based - CS Domain RAB Release Measurement 67109371 - CS_RAB_REL	pmresult_67109371_*[0-9]{12}.csv$	1	6	hour		N/A		1	1	24	hour
11	Cell Based - CS Domain RAB Setup Failure Measurement 67109369 - CS_RAB_SET_FAIL	pmresult_67109369_*[0-9]{12}.csv$	1	6	hour		N/A		1	1	24	hour
12	Cell Based - CS Domain RAB Setup Measurement 67109368 - CS_RAB_SET	pmresult_67109368_*[0-9]{12}.csv$	1	6	hour		N/A		1	1	24	hour
13	Cell Based - Iub Interface Traffic Measurement  67109387 - IUB_TRAFF	pmresult_67109387_*[0-9]{12}.csv$	1	6	hour		N/A		1	1	24	hour
14	Cell Based - PS Domain RAB Release Measurement 67109375 - PS_RAB_REL	pmresult_67109375_*[0-9]{12}.csv$	1	6	hour		N/A		1	1	24	hour
15	Cell Based - PS Domain RAB Setup Failure Measurement 67109373 - PS_RAB_FAIL	pmresult_67109373_*[0-9]{12}.csv$	1	6	hour		N/A		1	1	24	hour
16	Cell Based - PS Domain RAB Setup Measurement 67109372 - PS_RAB_SET	pmresult_67109372_*[0-9]{12}.csv$	1	6	hour		N/A		1	1	24	hour
17	Cell Based - RNC originated RAB Release Measurement 67109376 - RNC_RAB_REL	pmresult_67109376_*[0-9]{12}.csv$	1	6	hour		N/A		1	1	24	hour
18	Cell Based - Soft Handover Measurement 67109379 - S_HO	pmresult_67109379_*[0-9]{12}.csv$	1	6	hour		N/A		1	1	24	hour
19	Cell Based - Multi RAB Measurement 67109377 - MULT_RAB	pmresult_67109377_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
20	Cell Based - CS Domain RAB Assignment Setup Measurement RNC 67109422 - CS_RAB_SET_ASS_RNC	pmresult_67109422_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
21	Cell Based - PS Domain RAB Assignment Setup Measurement RNC 67109426 - PS_RAB_SET_ASS_RNC	pmresult_67109426_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
22	Cell Based - PS Domain RAB Release Measurement RNC 67109429 - PS_RAB_REL_RNC	pmresult_67109429_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
23	Cell Based - RNC Triggered RAB Release Measurement 67109430 - RNC_TRIG_RAB_REL	pmresult_67109430_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
24	Cell Based - AMR Measurement 67109435 - AMR	pmresult_67109435_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
25	Cell Based - Paging Measurement 67109438 - RNC_PAGING	pmresult_67109438_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
