id_ligne	kpi_name	edw_group_table	kpi_label	comment	kpi_formula	pourcentage	on_off	value_type	new_field	visible	numerator_denominator	kpi_type
kpis.0091.01.ri_capture_duration	RI_CAPTURE_DURATION	edw_huaran_cellb_axe1	RI CAPTURE DURATION	RI CAPTURE DURATION	CASE WHEN (capture_duration/capture_duration_expected)*100>100 THEN 100 ELSE (capture_duration/capture_duration_expected)*100 END	1	1	customisateur	1	0	total	float4
kpis.0091.01.blocking_rate_hs	BLOCKING_RATE_HS	edw_huaran_cellb_axe1	BLOCKING RATE HSDPA	GoS - Percentage of admission control blocked calls for HSDPA 	CASE WHEN 100*(VS_HSDPA_OLC_UserRel+VS_RAC_NewCallRequest_Fail_HSDPANum_Cong)/VS_HSDPA_RAB_AttEstab>100 THEN 100 ELSE 100*(VS_HSDPA_OLC_UserRel+VS_RAC_NewCallRequest_Fail_HSDPANum_Cong)/VS_HSDPA_RAB_AttEstab END	1	1	customisateur	1	1	total	float4
kpis.0091.01.blocking_rate_nrt_ps_data	BLOCKING_RATE_NRT_PS_DATA	edw_huaran_cellb_axe1	BLOCKING RATE Non Real Time PS DATA	GoS - Percentage of admission control blocked calls for Non Real Time PS DATA 	CASE WHEN NULL>100 THEN 100 ELSE NULL END	1	1	customisateur	1	1	total	float4
kpis.0091.01.blocking_rate_rt_ps_data	BLOCKING_RATE_RT_PS_DATA	edw_huaran_cellb_axe1	BLOCKING RATE Real Time PS DATA	GoS - Percentage of admission control blocked calls for Real Time PS DATA 	CASE WHEN NULL>100 THEN 100 ELSE NULL END	1	1	customisateur	1	1	total	float4
kpis.0091.01.blocking_rate_speech	BLOCKING_RATE_SPEECH	edw_huaran_cellb_axe1	BLOCKING RATE SPEECH	GoS - Percentage of admission control blocked calls for speech 	CASE WHEN NULL>100 THEN 100 ELSE NULL END	1	1	customisateur	1	1	total	float4
kpis.0091.01.blocking_rate_rt_cs_data	BLOCKING_RATE_RT_CS_DATA	edw_huaran_cellb_axe1	BLOCKING RATE Real Time CS DATA	GoS - Percentage of admission control blocked calls for Real Time CS DATA 	CASE WHEN NULL>100 THEN 100 ELSE NULL END	1	1	customisateur	1	1	total	float4
kpis.0091.01.call_drop_rate	CALL_DROP_RATE	edw_huaran_cellb_axe1	CALL DROP RATE	call drop rate (calculated from RAB drop rate) 	CASE WHEN 100*(VS_RAB_Loss_CS_Abnorm+VS_RAB_Loss_PS_Abnorm)/(VS_RAB_SuccEstabCS_Conv+VS_RAB_SuccEstabCS_Str+coalesce(VS_HSPA_RAB_SuccEstab_CS_Conv,0)+VS_RAB_SuccEstab_AMRWB+VS_RAB_SuccEstab_AMR+VS_RAB_SuccEstabPS_Conv+VS_RAB_SuccEstabPS_Str+VS_RAB_SuccEstabPS_Inter+VS_RAB_SuccEstabPS_Bkg)>100 THEN 100 ELSE 100*(VS_RAB_Loss_CS_Abnorm+VS_RAB_Loss_PS_Abnorm)/(VS_RAB_SuccEstabCS_Conv+VS_RAB_SuccEstabCS_Str+coalesce(VS_HSPA_RAB_SuccEstab_CS_Conv,0)+VS_RAB_SuccEstab_AMRWB+VS_RAB_SuccEstab_AMR+VS_RAB_SuccEstabPS_Conv+VS_RAB_SuccEstabPS_Str+VS_RAB_SuccEstabPS_Inter+VS_RAB_SuccEstabPS_Bkg) END	1	1	customisateur	1	1	total	float4
kpis.0091.01.call_drop_rate_cs	CALL_DROP_RATE_CS	edw_huaran_cellb_axe1	CALL DROP RATE CS	call drop rate for CS domain (calculated from CS RAB drop rate) 	CASE WHEN 100*VS_RAB_Loss_CS_Abnorm/(VS_RAB_SuccEstabCS_Conv+VS_RAB_SuccEstabCS_Str+coalesce(VS_HSPA_RAB_SuccEstab_CS_Conv,0)+VS_RAB_SuccEstab_AMRWB+VS_RAB_SuccEstab_AMR)>100 THEN 100 ELSE 100*VS_RAB_Loss_CS_Abnorm/(VS_RAB_SuccEstabCS_Conv+VS_RAB_SuccEstabCS_Str+coalesce(VS_HSPA_RAB_SuccEstab_CS_Conv,0)+VS_RAB_SuccEstab_AMRWB+VS_RAB_SuccEstab_AMR) END	1	1	customisateur	1	1	total	float4
kpis.0091.01.call_drop_rate_ps	CALL_DROP_RATE_PS	edw_huaran_cellb_axe1	CALL DROP RATE PS	call drop rate for PS domain (calculated from PS RAB drop rate) 	CASE WHEN 100*VS_RAB_Loss_PS_Abnorm/(VS_RAB_SuccEstabPS_Conv+VS_RAB_SuccEstabPS_Str+VS_RAB_SuccEstabPS_Inter+VS_RAB_SuccEstabPS_Bkg)>100 THEN 100 ELSE 100*VS_RAB_Loss_PS_Abnorm/(VS_RAB_SuccEstabPS_Conv+VS_RAB_SuccEstabPS_Str+VS_RAB_SuccEstabPS_Inter+VS_RAB_SuccEstabPS_Bkg) END	1	1	customisateur	1	1	total	float4
kpis.0091.01.call_drop_rate_eul	CALL_DROP_RATE_EUL	edw_huaran_cellb_axe1	CALL DROP RATE EUL (HSUPA)	Call drop rate for HSUPA (calculated from RAB drop rate) 	CASE WHEN 100*VS_HSUPA_RAB_Loss_Abnorm/VS_HSDPA_RAB_SuccEstab>100 THEN 100 ELSE 100*VS_HSUPA_RAB_Loss_Abnorm/VS_HSDPA_RAB_SuccEstab END	1	1	customisateur	1	1	total	float4
kpis.0091.01.call_drop_rate_hs	CALL_DROP_RATE_HS	edw_huaran_cellb_axe1	CALL DROP RATE HSDPA	Call drop rate for HSDPA (calculated from RAB drop rate) 	CASE WHEN 100*VS_HSDPA_RAB_Loss_Abnorm_NonRF/VS_HSDPA_RAB_SuccEstab>100 THEN 100 ELSE 100*VS_HSDPA_RAB_Loss_Abnorm_NonRF/VS_HSDPA_RAB_SuccEstab END	1	1	customisateur	1	1	total	float4
kpis.0091.01.call_drop_rate_nrt_ps_data	CALL_DROP_RATE_NRT_PS_DATA	edw_huaran_cellb_axe1	CALL DROP RATE Non Real Time PS DATA	Call drop rate for Non Real Time PS DATA (calculated from RAB drop rate) 	CASE WHEN 100*VS_RAB_AbnormRel_PS_BE/(VS_RAB_SuccEstabPS_Inter+VS_RAB_SuccEstabPS_Bkg)>100 THEN 100 ELSE 100*VS_RAB_AbnormRel_PS_BE/(VS_RAB_SuccEstabPS_Inter+VS_RAB_SuccEstabPS_Bkg) END	1	1	customisateur	1	1	total	float4
kpis.0091.01.call_drop_rate_rt_ps_data	CALL_DROP_RATE_RT_PS_DATA	edw_huaran_cellb_axe1	CALL DROP RATE Real Time PS DATA	Call drop rate for Real Time PS DATA (calculated from RAB drop rate) 	CASE WHEN 100*(VS_Abnorm_Rel_PS_Conv+VS_Abnorm_Rel_PS_Str)/(VS_RAB_SuccEstabPS_Conv+VS_RAB_SuccEstabPS_Str)>100 THEN 100 ELSE 100*(VS_Abnorm_Rel_PS_Conv+VS_Abnorm_Rel_PS_Str)/(VS_RAB_SuccEstabPS_Conv+VS_RAB_SuccEstabPS_Str) END	1	1	customisateur	1	1	total	float4
kpis.0091.01.call_drop_rate_speech	CALL_DROP_RATE_SPEECH	edw_huaran_cellb_axe1	CALL DROP RATE SPEECH	Call drop rate for Speech (calculated from RAB drop rate) 	CASE WHEN 100*(VS_RAB_Loss_CS_AMR+coalesce(VS_RAB_AbnormRel_AMRWB,0)+coalesce(VS_RAB_AbnormRel_CS_HSPA_Conv,0))/(coalesce(VS_HSPA_RAB_SuccEstab_CS_Conv,0)+VS_RAB_SuccEstab_AMRWB+VS_RAB_SuccEstab_AMR)>100 THEN 100 ELSE 100*(VS_RAB_Loss_CS_AMR+coalesce(VS_RAB_AbnormRel_AMRWB,0)+coalesce(VS_RAB_AbnormRel_CS_HSPA_Conv,0))/(coalesce(VS_HSPA_RAB_SuccEstab_CS_Conv,0)+VS_RAB_SuccEstab_AMRWB+VS_RAB_SuccEstab_AMR) END	1	1	customisateur	1	1	total	float4
kpis.0091.01.call_drop_rate_rt_cs_data	CALL_DROP_RATE_RT_CS_DATA	edw_huaran_cellb_axe1	CALL DROP RATE Real Time CS DATA	Call drop rate for Real Time CS DATA (calculated from RAB drop rate) 	CASE WHEN 100*(VS_RAB_Loss_CS_Conv64K+VS_Abnorm_Rel_CS_Str)/(VS_RAB_SuccEstabCS_Conv+VS_RAB_SuccEstabCS_Str)>100 THEN 100 ELSE 100*(VS_RAB_Loss_CS_Conv64K+VS_Abnorm_Rel_CS_Str)/(VS_RAB_SuccEstabCS_Conv+VS_RAB_SuccEstabCS_Str) END	1	1	customisateur	1	1	total	float4
kpis.0091.01.nb_rab_release	NB_RAB_RELEASE	edw_huaran_cellb_axe1	NB RAB RELEASE	Number of RAB releases  	VS_RAB_Loss_CS_Abnorm+VS_RAB_Loss_CS_Norm+VS_RAB_Loss_PS_Abnorm+VS_RAB_Loss_PS_Norm	0	1	customisateur	1	1	total	float4
