id	id_page	id_elem	class_object	ligne	id_product
dshd.0091.01.001.gtm.01	dshd.0091.01.001	gtms.0091.01.00001	graph	1	1
seri.gtms.0091.01.00001.01	gtms.0091.01.00001	kpis.0091.01.cssr	kpi	1	1
seri.gtms.0091.01.00001.02	gtms.0091.01.00001	kpis.0091.01.nb_rab_establishment_attempt	kpi	2	1
dshd.0091.01.001.gtm.02	dshd.0091.01.001	gtms.0091.01.00002	graph	2	1
seri.gtms.0091.01.00002.01	gtms.0091.01.00002	kpis.0091.01.cssr_cs	kpi	1	1
seri.gtms.0091.01.00002.02	gtms.0091.01.00002	kpis.0091.01.nb_rab_establishment_attempt_cs	kpi	2	1
dshd.0091.01.001.gtm.03	dshd.0091.01.001	gtms.0091.01.00003	graph	3	1
seri.gtms.0091.01.00003.01	gtms.0091.01.00003	kpis.0091.01.cssr_ps	kpi	1	1
seri.gtms.0091.01.00003.02	gtms.0091.01.00003	kpis.0091.01.nb_rab_establishment_attempt_ps	kpi	2	1
dshd.0091.01.002.gtm.01	dshd.0091.01.002	gtms.0091.01.00004	graph	1	1
seri.gtms.0091.01.00004.01	gtms.0091.01.00004	kpis.0091.01.call_drop_rate	kpi	1	1
seri.gtms.0091.01.00004.02	gtms.0091.01.00004	kpis.0091.01.nb_rab_release	kpi	2	1
dshd.0091.01.002.gtm.02	dshd.0091.01.002	gtms.0091.01.00005	graph	2	1
seri.gtms.0091.01.00005.01	gtms.0091.01.00005	kpis.0091.01.call_drop_rate_cs	kpi	1	1
seri.gtms.0091.01.00005.02	gtms.0091.01.00005	kpis.0091.01.nb_rab_release_cs	kpi	2	1
dshd.0091.01.002.gtm.03	dshd.0091.01.002	gtms.0091.01.00006	graph	3	1
seri.gtms.0091.01.00006.01	gtms.0091.01.00006	kpis.0091.01.call_drop_rate_ps	kpi	1	1
seri.gtms.0091.01.00006.02	gtms.0091.01.00006	kpis.0091.01.nb_rab_release_ps	kpi	2	1
dshd.0091.01.003.gtm.01	dshd.0091.01.003	gtms.0091.01.00007	graph	1	1
seri.gtms.0091.01.00007.01	gtms.0091.01.00007	kpis.0091.01.rrc_connection_setup_sr	kpi	1	1
seri.gtms.0091.01.00007.02	gtms.0091.01.00007	kpis.0091.01.nb_rrc_connection_req	kpi	2	1
dshd.0091.01.003.gtm.02	dshd.0091.01.003	gtms.0091.01.00008	graph	2	1
seri.gtms.0091.01.00008.01	gtms.0091.01.00008	kpis.0091.01.rrc_connection_setup_sr_cs_serv	kpi	1	1
seri.gtms.0091.01.00008.03	gtms.0091.01.00008	kpis.0091.01.rrc_connection_setup_sr_ps_serv	kpi	2	1
seri.gtms.0091.01.00008.04	gtms.0091.01.00008	kpis.0091.01.nb_rrc_connection_req_ps_serv	kpi	3	1
seri.gtms.0091.01.00008.05	gtms.0091.01.00008	kpis.0091.01.nb_rrc_connection_req_sms	kpi	4	1
seri.gtms.0091.01.00008.02	gtms.0091.01.00008	kpis.0091.01.nb_rrc_connection_req_cs_serv	kpi	5	1
dshd.0091.01.004.gtm.01	dshd.0091.01.004	gtms.0091.01.00009	graph	1	1
seri.gtms.0091.01.00009.01	gtms.0091.01.00009	kpis.0091.01.rab_establishment_sr	kpi	1	1
seri.gtms.0091.01.00009.02	gtms.0091.01.00009	kpis.0091.01.nb_rab_establishment_attempt	kpi	2	1
dshd.0091.01.004.gtm.02	dshd.0091.01.004	gtms.0091.01.00010	graph	2	1
seri.gtms.0091.01.00010.01	gtms.0091.01.00010	kpis.0091.01.rab_establishment_sr_speech	kpi	1	1
seri.gtms.0091.01.00010.02	gtms.0091.01.00010	kpis.0091.01.nb_rab_establishment_attempt_speech	kpi	2	1
seri.gtms.0091.01.00010.03	gtms.0091.01.00010	kpis.0091.01.rab_establishment_sr_rt_cs_data	kpi	3	1
seri.gtms.0091.01.00010.04	gtms.0091.01.00010	kpis.0091.01.nb_rab_establishment_attempt_rt_cs_data	kpi	4	1
dshd.0091.01.004.gtm.03	dshd.0091.01.004	gtms.0091.01.00011	graph	3	1
seri.gtms.0091.01.00011.01	gtms.0091.01.00011	kpis.0091.01.rab_establishment_sr_rt_ps_data	kpi	1	1
seri.gtms.0091.01.00011.02	gtms.0091.01.00011	kpis.0091.01.nb_rab_establishment_attempt_rt_ps_data	kpi	2	1
seri.gtms.0091.01.00011.03	gtms.0091.01.00011	kpis.0091.01.rab_establishment_sr_nrt_ps_data	kpi	3	1
seri.gtms.0091.01.00011.04	gtms.0091.01.00011	kpis.0091.01.nb_rab_establishment_attempt_nrt_ps_data	kpi	4	1
dshd.0091.01.004.gtm.04	dshd.0091.01.004	gtms.0091.01.00017	graph	4	1
seri.gtms.0091.01.00017.01	gtms.0091.01.00017	kpis.0091.01.nb_failed_rab_est_attempt	kpi	1	1
seri.gtms.0091.01.00017.02	gtms.0091.01.00017	kpis.0091.01.rate_failed_rab_est_attempt_exceed_conn_limit	kpi	2	1
