id_ligne	nms_table	nms_field_name	edw_group_table	edw_target_field_name	edw_field_name	edw_field_type	edw_agregation_function	edw_agregation_formula	new_date	new_field	on_off	id_group_table	aggregated_flag	comment	visible	default_value	flat_file_position	edw_field_name_label
raws.0091.01.hho_failrelocprepoutinterrnccn_noresavail	XML	HHO.FailRelocPrepOut.NoResAvail||HHO.FailRelocPrepOutInterRNCCN.NoResAvail||67189708	edw_huaran_cellb_axe1	hho_failrelocprepoutinterrnccn_noresavail	HHO_FailRelocPrepOutInterRNCCN_NoResAvail	float4	SUM	SUM(hho_failrelocprepoutinterrnccn_noresavail)	20180214	1	0	1	1	Number of Unsuccessful Preparations for Relocations with Outgoing HardHandovers (Cell): No radio resources available in target cell Updated: As shown at point A in Figure 1, when receiving a RELOCATION PREPARATION FAILURE message from the CN, the SRNC measures the items listed in Table 1based on different cause values in the best cell that the UE camps on before the hard handover if the relocation is performed with the hard handover_ Figure1 (6810 - 6900 V900R011)	1	0		HHO_FailRelocPrepOutInterRNCCN_NoResAvail
raws.0091.01.hho_failrelocprepoutinterrnccn_texp	XML	HHO.FailRelocPrepOut.Texp||HHO.FailRelocPrepOutInterRNCCN.TExp||67189709	edw_huaran_cellb_axe1	hho_failrelocprepoutinterrnccn_texp	HHO_FailRelocPrepOutInterRNCCN_TExp	float4	SUM	SUM(hho_failrelocprepoutinterrnccn_texp)	20180214	1	0	1	1	Number of Unsuccessful Preparations for Relocations with Outgoing HardHandovers (Cell): TRELOCalloc Expiry Updated: As shown at point A in Figure 1, when receiving a RELOCATION PREPARATION FAILURE message from the CN, the SRNC measures the items listed in Table 1based on different cause values in the best cell that the UE camps on before the hard handover if the relocation is performed with the hard handover_ Figure1 (6810 - 6900 V900R011)	1	0		HHO_FailRelocPrepOutInterRNCCN_TExp
raws.0091.01.hho_failrelocprepoutinterrnccn_tgtf	XML	HHO.FailRelocPrepOut.TgtFail||HHO.FailRelocPrepOutInterRNCCN.TgtF||67189710	edw_huaran_cellb_axe1	hho_failrelocprepoutinterrnccn_tgtf	HHO_FailRelocPrepOutInterRNCCN_TgtF	float4	SUM	SUM(hho_failrelocprepoutinterrnccn_tgtf)	20180214	1	0	1	1	Number of Unsuccessful Preparations for Relocations with Outgoing HardHandovers (Cell): Relocation Failure in Target CN/RNC or Target System Updated: As shown at point A in Figure 1, when receiving a RELOCATION PREPARATION FAILURE message from the CN, the SRNC measures the items listed in Table 1based on different cause values in the best cell that the UE camps on before the hard handover if the relocation is performed with the hard handover_ Figure1 (6810 - 6900 V900R011)	1	0		HHO_FailRelocPrepOutInterRNCCN_TgtF
raws.0091.01.hho_failrelocprepoutinterrnccn_rnsp	XML	HHO.FailRelocPrepOut.RelocUnsupp||HHO.FailRelocPrepOutInterRNCCN.RNSp||67189711	edw_huaran_cellb_axe1	hho_failrelocprepoutinterrnccn_rnsp	HHO_FailRelocPrepOutInterRNCCN_RNSp	float4	SUM	SUM(hho_failrelocprepoutinterrnccn_rnsp)	20180214	1	0	1	1	Number of Unsuccessful Preparations for Relocations with Outgoing HardHandovers (Cell): Relocation not supported in Target RNC or Target system Updated: As shown at point A in Figure 1, when receiving a RELOCATION PREPARATION FAILURE message from the CN, the SRNC measures the items listed in Table 1based on different cause values in the best cell that the UE camps on before the hard handover if the relocation is performed with the hard handover_ Figure1 (6810 - 6900 V900R011)	1	0		HHO_FailRelocPrepOutInterRNCCN_RNSp
raws.0091.01.hho_failrelocprepoutinterrnccn_reloctgtnotallo	XML	HHO.FailRelocPrepOut.TgtNotAllow||HHO.FailRelocPrepOutInterRNCCN.RelocTgtNotAllo||67189712	edw_huaran_cellb_axe1	hho_failrelocprepoutinterrnccn_reloctgtnotallo	HHO_FailRelocPrepOutInterRNCCN_RelocTgtNotAllo	float4	SUM	SUM(hho_failrelocprepoutinterrnccn_reloctgtnotallo)	20180214	1	0	1	1	Number of Unsuccessful Preparations for Relocations with Outgoing HardHandovers (Cell): Relocation Target not allowed Updated: As shown at point A in Figure 1, when receiving a RELOCATION PREPARATION FAILURE message from the CN, the SRNC measures the items listed in Table 1based on different cause values in the best cell that the UE camps on before the hard handover if the relocation is performed with the hard handover_ Figure1 (6810 - 6900 V900R011)	1	0		HHO_FailRelocPrepOutInterRNCCN_RelocTgtNotAllo
raws.0091.01.hho_failrelocprepoutinterrnccn_om	XML	HHO.FailRelocPrepOut.OM||HHO.FailRelocPrepOutInterRNCCN.OM||67189713	edw_huaran_cellb_axe1	hho_failrelocprepoutinterrnccn_om	HHO_FailRelocPrepOutInterRNCCN_OM	float4	SUM	SUM(hho_failrelocprepoutinterrnccn_om)	20180214	1	0	1	1	Number of Unsuccessful Preparations for Relocations with Outgoing HardHandovers (Cell): O&M Intervention Updated: As shown at point A in Figure 1, when receiving a RELOCATION PREPARATION FAILURE message from the CN, the SRNC measures the items listed in Table 1based on different cause values in the best cell that the UE camps on before the hard handover if the relocation is performed with the hard handover_ Figure1 (6810 - 6900 V900R011)	1	0		HHO_FailRelocPrepOutInterRNCCN_OM
raws.0091.01.hho_failrelocprepoutinterrnccn_resunavail	XML	HHO.FailRelocPrepOut.ResUnavail||HHO.FailRelocPrepOutInterRNCCN.ResUnavail||67189714	edw_huaran_cellb_axe1	hho_failrelocprepoutinterrnccn_resunavail	HHO_FailRelocPrepOutInterRNCCN_ResUnavail	float4	SUM	SUM(hho_failrelocprepoutinterrnccn_resunavail)	20180214	1	0	1	1	Number of Unsuccessful Preparations for Relocations with Outgoing HardHandovers (Cell): No Resource Available Updated: As shown at point A in Figure 1, when receiving a RELOCATION PREPARATION FAILURE message from the CN, the SRNC measures the items listed in Table 1based on different cause values in the best cell that the UE camps on before the hard handover if the relocation is performed with the hard handover_ Figure1 (6810 - 6900 V900R011)	1	0		HHO_FailRelocPrepOutInterRNCCN_ResUnavail
raws.0091.01.hho_failrelocprepoutinterrnccn_unspfail	XML	HHO.FailRelocPrepOut.Unspec||HHO.FailRelocPrepOutInterRNCCN.UnspFail||67189715	edw_huaran_cellb_axe1	hho_failrelocprepoutinterrnccn_unspfail	HHO_FailRelocPrepOutInterRNCCN_UnspFail	float4	SUM	SUM(hho_failrelocprepoutinterrnccn_unspfail)	20180214	1	0	1	1	Number of Unsuccessful Preparations for Relocations with Outgoing HardHandovers (Cell): Unspecified Failure Updated: As shown at point A in Figure 1, when receiving a RELOCATION PREPARATION FAILURE message from the CN, the SRNC measures the items listed in Table 1based on different cause values in the best cell that the UE camps on before the hard handover if the relocation is performed with the hard handover_ Figure1 (6810 - 6900 V900R011)	1	0		HHO_FailRelocPrepOutInterRNCCN_UnspFail
raws.0091.01.iratho_attinccs	XML	VS.IRATHO.AttRelocPrepInCS||IRATHO.AttIncCS||67189758	edw_huaran_cellb_axe1	iratho_attinccs	IRATHO_AttIncCS	float4	SUM	SUM(iratho_attinccs)	20180214	1	0	1	1	Number of Preparations for CS Domain Incoming Inter-RAT Handovers (Cell): This measurement item provides the number of preparations for CS domain incoming inter-RAT handovers_ Updated: The measurement is triggered at point A as shown in Figure 1, when the RNC receives from the CN a RELOCATION REQUEST message_ In this case, the RNC measures the item in the target cell_ Figure1 (6810 - 6900 V900R011)	1	0		IRATHO_AttIncCS
raws.0091.01.iratho_attoutcs	XML	IRATHO.AttOutCS||67189754	edw_huaran_cellb_axe1	iratho_attoutcs	IRATHO_AttOutCS	float4	SUM	SUM(iratho_attoutcs)	20180214	1	1	1	1	Number of Attempts at CS Domain Outgoing Inter-RAT Handovers (Cell): This measurement item provides the number of attempts at CS domain outgoing inter-RAT handovers_ Updated: The measurement is triggered at point C as shown in Figure 1, when the RNC sends a UE a HANDOVER FROM UTRAN COMMAND message during the CS domain outgoing inter-RAT handover_ In this case, the RNC measures the item in each cell that the UE camps on_ Figure1 (6810 - 6900 V900R011)	1	0		IRATHO_AttOutCS
