id	id_page	id_elem	class_object	ligne	id_product
dshd.0091.01.call_setup_success_rate.gtms.0091.01.call_setup_success_rate	dshd.0091.01.call_setup_success_rate	gtms.0091.01.call_setup_success_rate	graph	1	1
seri.gtms.0091.01.call_setup_success_rate.kpis.0091.01.cssr	gtms.0091.01.call_setup_success_rate	kpis.0091.01.cssr	kpi	1	1
seri.gtms.0091.01.call_setup_success_rate.kpis.0091.01.nb_rab_establishment_attempt	gtms.0091.01.call_setup_success_rate	kpis.0091.01.nb_rab_establishment_attempt	kpi	2	1
dshd.0091.01.call_setup_success_rate.gtms.0091.01.call_setup_success_rate_cs	dshd.0091.01.call_setup_success_rate	gtms.0091.01.call_setup_success_rate_cs	graph	2	1
seri.gtms.0091.01.call_setup_success_rate_cs.kpis.0091.01.cssr_cs	gtms.0091.01.call_setup_success_rate_cs	kpis.0091.01.cssr_cs	kpi	1	1
seri.gtms.0091.01.call_setup_success_rate_cs.kpis.0091.01.nb_rab_establishment_attempt_cs	gtms.0091.01.call_setup_success_rate_cs	kpis.0091.01.nb_rab_establishment_attempt_cs	kpi	2	1
dshd.0091.01.call_setup_success_rate.gtms.0091.01.call_setup_success_rate_ps	dshd.0091.01.call_setup_success_rate	gtms.0091.01.call_setup_success_rate_ps	graph	3	1
seri.gtms.0091.01.call_setup_success_rate_ps.kpis.0091.01.cssr_ps	gtms.0091.01.call_setup_success_rate_ps	kpis.0091.01.cssr_ps	kpi	1	1
seri.gtms.0091.01.call_setup_success_rate_ps.kpis.0091.01.nb_rab_establishment_attempt_ps	gtms.0091.01.call_setup_success_rate_ps	kpis.0091.01.nb_rab_establishment_attempt_ps	kpi	2	1
dshd.0091.01.call_drop_rate.gtms.0091.01.call_drop_rate	dshd.0091.01.call_drop_rate	gtms.0091.01.call_drop_rate	graph	1	1
seri.gtms.0091.01.call_drop_rate.kpis.0091.01.call_drop_rate	gtms.0091.01.call_drop_rate	kpis.0091.01.call_drop_rate	kpi	1	1
